date_time,LDTEA_5,LDTEA_6,LDTEA_7,LDTEA_8,UAC_1,UAC_2
2023-06,120.7,120.23,118.7,107.98,181.89,188.1
2023-07,121.09,121.26,120.64,110.6,183.45,189.25
2023-08,131.54,131.19,130.85,120.15,187.22,193.2
2023-09,150.07,149.05,148.39,135.97,195.07,203.42
2023-10,152.04,150.84,150.72,138.48,184.63,191.44
2023-11,159.45,157.89,156.94,144.62,182.69,190.58
2023-12,141.89,140.51,141.88,132.22,144.43,167.86
2024-01,125.73,124.38,125.68,117.18,124.44,151.48
2024-02,135.66,134.48,134.58,124.62,139.23,168.88
2024-03,112.12,111.01,109.51,99.87,117.82,142.39
2024-04,126.54,125.36,122.49,111.18,144.08,173.62
2024-05,127.01,125.39,124.85,115.41,162.14,194.39
2024-06,114.07,113.04,113.34,104.61,153.91,184.02
