date_time,LDTEA_5,LDTEA_6,LDTEA_7,LDTEA_8
2023-06-01 00:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 06:00:00-03:00,0.26,0.27,0.16,0.08
2023-06-01 07:00:00-03:00,6.39,6.35,3.18,0.76
2023-06-01 08:00:00-03:00,12.91,12.77,8.53,5.0
2023-06-01 09:00:00-03:00,16.79,16.6,13.77,10.67
2023-06-01 10:00:00-03:00,9.94,9.86,9.23,7.93
2023-06-01 11:00:00-03:00,10.27,10.14,9.99,9.17
2023-06-01 12:00:00-03:00,11.07,11.07,11.6,11.07
2023-06-01 13:00:00-03:00,14.27,13.92,15.7,16.13
2023-06-01 14:00:00-03:00,10.84,10.62,12.92,13.78
2023-06-01 15:00:00-03:00,5.36,5.33,7.15,7.81
2023-06-01 16:00:00-03:00,2.52,2.47,3.73,4.3
2023-06-01 17:00:00-03:00,0.39,0.39,0.73,0.91
2023-06-01 18:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 01:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 02:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 03:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 04:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 05:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 06:00:00-03:00,0.74,0.72,0.36,0.08
2023-06-02 07:00:00-03:00,7.25,7.2,3.46,0.63
2023-06-02 08:00:00-03:00,13.56,13.47,8.96,5.16
2023-06-02 09:00:00-03:00,17.75,17.65,14.54,11.13
2023-06-02 10:00:00-03:00,19.76,19.65,17.96,15.27
2023-06-02 11:00:00-03:00,20.64,20.5,20.22,18.41
2023-06-02 12:00:00-03:00,18.87,19.23,20.4,18.93
2023-06-02 13:00:00-03:00,11.33,11.2,12.62,12.7
2023-06-02 14:00:00-03:00,7.34,7.05,8.6,9.41
2023-06-02 15:00:00-03:00,5.5,5.34,8.56,10.18
2023-06-02 16:00:00-03:00,1.8,1.74,5.18,7.24
2023-06-02 17:00:00-03:00,0.29,0.28,0.92,1.29
2023-06-02 18:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 19:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 20:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 21:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 22:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-02 23:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 00:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 01:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 02:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 03:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 04:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 05:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 06:00:00-03:00,0.67,0.66,0.34,0.09
2023-06-03 07:00:00-03:00,7.11,7.06,3.42,0.63
2023-06-03 08:00:00-03:00,13.57,13.5,8.91,5.16
2023-06-03 09:00:00-03:00,17.95,17.9,14.72,11.23
2023-06-03 10:00:00-03:00,20.34,20.3,18.55,15.71
2023-06-03 11:00:00-03:00,20.73,20.71,20.41,18.42
2023-06-03 12:00:00-03:00,19.21,19.15,20.25,19.29
2023-06-03 13:00:00-03:00,16.77,16.75,19.08,19.02
2023-06-03 14:00:00-03:00,12.27,12.19,15.7,16.8
2023-06-03 15:00:00-03:00,6.38,6.22,10.62,12.81
2023-06-03 16:00:00-03:00,1.45,1.38,4.88,6.95
2023-06-03 17:00:00-03:00,0.27,0.28,0.83,1.17
2023-06-03 18:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 19:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 20:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 21:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 22:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-03 23:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 00:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 01:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 02:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 03:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 04:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 05:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 06:00:00-03:00,0.7,0.68,0.35,0.08
2023-06-04 07:00:00-03:00,7.24,7.2,3.46,0.62
2023-06-04 08:00:00-03:00,13.67,13.62,8.98,5.19
2023-06-04 09:00:00-03:00,18.04,18.0,14.82,11.29
2023-06-04 10:00:00-03:00,20.25,20.17,18.38,15.6
2023-06-04 11:00:00-03:00,20.49,20.47,20.2,18.23
2023-06-04 12:00:00-03:00,18.86,18.73,19.78,18.95
2023-06-04 13:00:00-03:00,15.79,15.63,17.97,18.27
2023-06-04 14:00:00-03:00,8.62,8.43,11.09,12.13
2023-06-04 15:00:00-03:00,6.12,5.93,10.38,12.73
2023-06-04 16:00:00-03:00,1.42,1.37,5.07,7.29
2023-06-04 17:00:00-03:00,0.27,0.26,0.97,1.41
2023-06-04 18:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 19:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 20:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 21:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 22:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-04 23:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 00:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 01:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 02:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 03:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 04:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 05:00:00-03:00,0.0,0.0,0.0,0.0
2023-06-05 06:00:00-03:00,0.66,0.65,0.34,0.07
2023-06-05 07:00:00-03:00,7.13,7.08,3.4,0.61
2023-06-05 08:00:00-03:00,13.38,13.31,8.82,5.02
2023-06-05 09:00:00-03:00,17.62,17.51,14.4,11.01
2023-06-05 10:00:00-03:00,19.62,19.49,17.81,15.19
2023-06-05 11:00:00-03:00,19.63,19.54,19.41,17.64
2023-06-05 12:00:00-03:00,17.43,17.34,18.37,17.53
2023-06-05 13:00:00-03:00,13.45,13.43,15.01,14.78
2023-06-05 14:00:00-03:00,8.17,7.95,10.0,10.9
