date_time,LDTEA_5,LDTEA_6,LDTEA_7,LDTEA_8,UAC_1,UAC_2
2023-06-01 00:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 00:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 00:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 00:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 01:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 01:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 01:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 02:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 02:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 02:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 03:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 03:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 03:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 04:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 04:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 04:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 05:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 05:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 05:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 06:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 06:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 06:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 06:45:00-03:00,0.02,0.03,0.02,0.01,0.01,0.01
2023-06-01 07:00:00-03:00,0.24,0.24,0.14,0.07,0.17,0.12
2023-06-01 07:15:00-03:00,0.72,0.71,0.38,0.12,0.58,0.5
2023-06-01 07:30:00-03:00,1.44,1.43,0.72,0.17,1.27,1.21
2023-06-01 07:45:00-03:00,1.89,1.88,0.92,0.21,1.84,1.78
2023-06-01 08:00:00-03:00,2.34,2.33,1.16,0.26,2.4,2.34
2023-06-01 08:15:00-03:00,2.77,2.73,1.37,0.43,2.98,2.94
2023-06-01 08:30:00-03:00,3.06,3.04,2.02,1.16,3.41,3.39
2023-06-01 08:45:00-03:00,3.38,3.34,2.39,1.52,3.94,3.95
2023-06-01 09:00:00-03:00,3.7,3.66,2.75,1.89,4.45,4.47
2023-06-01 09:15:00-03:00,3.94,3.89,3.04,2.21,4.82,4.87
2023-06-01 09:30:00-03:00,4.1,4.05,3.32,2.52,5.15,5.22
2023-06-01 09:45:00-03:00,4.27,4.23,3.56,2.81,5.49,5.59
2023-06-01 10:00:00-03:00,4.48,4.43,3.85,3.13,5.89,6.03
2023-06-01 10:15:00-03:00,4.85,4.86,4.44,3.71,6.39,6.31
2023-06-01 10:30:00-03:00,2.21,2.14,2.01,1.79,3.0,3.4
2023-06-01 10:45:00-03:00,1.12,1.12,1.06,0.92,1.54,1.58
2023-06-01 11:00:00-03:00,1.76,1.74,1.72,1.51,2.22,2.12
2023-06-01 11:15:00-03:00,4.53,4.52,4.42,4.0,6.15,6.38
2023-06-01 11:30:00-03:00,3.69,3.61,3.57,3.28,5.36,5.81
2023-06-01 11:45:00-03:00,0.83,0.84,0.83,0.75,1.55,1.53
2023-06-01 12:00:00-03:00,1.22,1.17,1.17,1.14,1.28,1.31
2023-06-01 12:15:00-03:00,5.33,5.21,5.35,5.17,7.62,7.98
2023-06-01 12:30:00-03:00,1.28,1.31,1.35,1.28,1.8,1.81
2023-06-01 12:45:00-03:00,2.12,2.09,2.24,2.17,2.99,3.15
2023-06-01 13:00:00-03:00,2.34,2.46,2.66,2.45,3.99,4.18
2023-06-01 13:15:00-03:00,3.19,3.12,3.36,3.39,4.72,4.99
2023-06-01 13:30:00-03:00,3.5,3.44,3.84,3.87,5.58,5.93
2023-06-01 13:45:00-03:00,3.77,3.62,4.1,4.28,5.89,6.15
2023-06-01 14:00:00-03:00,3.81,3.74,4.4,4.59,6.76,7.11
2023-06-01 14:15:00-03:00,3.48,3.39,4.11,4.4,5.97,6.18
2023-06-01 14:30:00-03:00,2.76,2.73,3.31,3.49,4.83,5.11
2023-06-01 14:45:00-03:00,2.45,2.42,2.91,3.06,3.97,4.2
2023-06-01 15:00:00-03:00,2.15,2.08,2.59,2.83,3.61,3.78
2023-06-01 15:15:00-03:00,2.43,2.39,3.3,3.72,4.98,5.26
2023-06-01 15:30:00-03:00,1.04,1.06,1.4,1.47,2.06,2.13
2023-06-01 15:45:00-03:00,0.92,0.9,1.09,1.13,1.55,1.66
2023-06-01 16:00:00-03:00,0.97,0.98,1.36,1.49,2.21,2.28
2023-06-01 16:15:00-03:00,0.89,0.86,1.38,1.61,2.26,2.4
2023-06-01 16:30:00-03:00,0.88,0.88,1.46,1.74,2.61,2.76
2023-06-01 16:45:00-03:00,0.45,0.43,0.49,0.5,2.96,3.12
2023-06-01 17:00:00-03:00,0.3,0.3,0.4,0.45,0.54,0.57
2023-06-01 17:15:00-03:00,0.22,0.22,0.4,0.48,0.45,0.55
2023-06-01 17:30:00-03:00,0.14,0.13,0.26,0.33,0.27,0.31
2023-06-01 17:45:00-03:00,0.03,0.03,0.06,0.09,0.05,0.07
2023-06-01 18:00:00-03:00,0.0,0.01,0.01,0.01,0.0,0.0
2023-06-01 18:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 18:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 18:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:15:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:30:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:45:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0
