date_time,air_temp,ghi,gti
2023-06-01 00:00:00-03:00,19.99,4.17,5.56
2023-06-02 00:00:00-03:00,19.12,4.99,7.02
2023-06-03 00:00:00-03:00,19.73,5.51,8.08
2023-06-04 00:00:00-03:00,19.09,5.47,8.04
2023-06-05 00:00:00-03:00,18.58,5.49,7.86
2023-06-06 00:00:00-03:00,19.44,4.86,6.65
2023-06-07 00:00:00-03:00,19.54,4.95,6.84
2023-06-08 00:00:00-03:00,19.69,4.85,6.48
2023-06-09 00:00:00-03:00,20.29,4.04,5.32
2023-06-10 00:00:00-03:00,20.95,4.73,6.4
2023-06-11 00:00:00-03:00,21.3,4.9,6.87
2023-06-12 00:00:00-03:00,22.05,3.85,4.81
2023-06-13 00:00:00-03:00,21.81,4.49,5.86
2023-06-14 00:00:00-03:00,21.83,5.01,7.07
2023-06-15 00:00:00-03:00,20.82,4.55,5.97
2023-06-16 00:00:00-03:00,19.64,3.53,4.48
2023-06-17 00:00:00-03:00,17.99,2.62,3.26
2023-06-18 00:00:00-03:00,17.89,4.9,6.85
2023-06-19 00:00:00-03:00,18.68,4.9,6.81
2023-06-20 00:00:00-03:00,19.61,4.89,6.76
2023-06-21 00:00:00-03:00,18.8,5.36,7.79
2023-06-22 00:00:00-03:00,18.82,5.37,7.84
2023-06-23 00:00:00-03:00,18.91,5.34,7.82
2023-06-24 00:00:00-03:00,19.02,4.67,5.96
2023-06-25 00:00:00-03:00,17.46,3.65,4.27
2023-06-26 00:00:00-03:00,17.96,5.33,7.75
2023-06-27 00:00:00-03:00,18.64,5.4,7.7
2023-06-28 00:00:00-03:00,18.75,5.43,7.96
2023-06-29 00:00:00-03:00,17.6,5.59,8.18
2023-06-30 00:00:00-03:00,18.58,5.13,7.38
2023-07-01 00:00:00-03:00,18.87,5.09,7.32
2023-07-02 00:00:00-03:00,18.06,5.43,7.86
2023-07-03 00:00:00-03:00,18.19,5.55,8.13
2023-07-04 00:00:00-03:00,18.88,5.37,7.8
2023-07-05 00:00:00-03:00,17.88,5.51,8.01
2023-07-06 00:00:00-03:00,18.0,5.3,7.55
2023-07-07 00:00:00-03:00,18.48,5.32,7.61
2023-07-08 00:00:00-03:00,18.92,4.88,6.8
2023-07-09 00:00:00-03:00,18.49,4.01,5.36
2023-07-10 00:00:00-03:00,20.08,5.2,7.2
2023-07-11 00:00:00-03:00,15.98,4.95,6.65
2023-07-12 00:00:00-03:00,21.25,4.7,6.1
2023-07-13 00:00:00-03:00,21.43,4.42,5.63
2023-07-14 00:00:00-03:00,18.92,5.02,6.96
2023-07-15 00:00:00-03:00,20.03,4.58,6.1
2023-07-16 00:00:00-03:00,21.66,4.45,5.91
2023-07-17 00:00:00-03:00,22.37,2.89,3.48
2023-07-18 00:00:00-03:00,22.6,4.71,6.34
2023-07-19 00:00:00-03:00,22.2,4.54,5.89
2023-07-20 00:00:00-03:00,19.87,4.89,6.23
2023-07-21 00:00:00-03:00,18.42,3.05,3.7
2023-07-22 00:00:00-03:00,18.56,4.58,5.9
2023-07-23 00:00:00-03:00,19.07,5.13,6.89
2023-07-24 00:00:00-03:00,19.42,5.02,6.99
2023-07-25 00:00:00-03:00,20.88,3.58,4.36
2023-07-26 00:00:00-03:00,20.42,5.78,8.28
2023-07-27 00:00:00-03:00,20.49,5.5,7.47
2023-07-28 00:00:00-03:00,20.52,5.31,7.17
2023-07-29 00:00:00-03:00,20.73,4.58,5.43
2023-07-30 00:00:00-03:00,21.18,5.03,6.44
2023-07-31 00:00:00-03:00,21.22,5.08,6.91
2023-08-01 00:00:00-03:00,21.52,5.89,8.45
2023-08-02 00:00:00-03:00,20.5,5.96,8.57
2023-08-03 00:00:00-03:00,20.28,5.94,8.5
2023-08-04 00:00:00-03:00,19.94,5.37,7.22
2023-08-05 00:00:00-03:00,20.28,5.99,8.52
2023-08-06 00:00:00-03:00,22.49,6.13,8.81
2023-08-07 00:00:00-03:00,21.93,6.11,8.67
2023-08-08 00:00:00-03:00,22.69,6.12,8.74
2023-08-09 00:00:00-03:00,21.9,6.02,8.52
2023-08-10 00:00:00-03:00,22.55,5.81,8.18
2023-08-11 00:00:00-03:00,22.71,5.42,7.0
2023-08-12 00:00:00-03:00,22.34,5.4,6.63
2023-08-13 00:00:00-03:00,21.78,5.37,6.91
2023-08-14 00:00:00-03:00,20.97,5.25,6.67
2023-08-15 00:00:00-03:00,20.13,4.71,5.72
2023-08-16 00:00:00-03:00,19.7,5.06,6.06
2023-08-17 00:00:00-03:00,20.37,5.06,6.72
2023-08-18 00:00:00-03:00,22.17,5.1,6.73
2023-08-19 00:00:00-03:00,22.57,4.21,5.15
2023-08-20 00:00:00-03:00,21.07,5.55,7.21
2023-08-21 00:00:00-03:00,20.55,5.61,7.36
2023-08-22 00:00:00-03:00,23.05,5.59,7.46
2023-08-23 00:00:00-03:00,25.08,5.7,7.35
2023-08-24 00:00:00-03:00,24.27,4.5,5.63
2023-08-25 00:00:00-03:00,24.41,5.03,6.39
2023-08-26 00:00:00-03:00,23.16,3.86,4.69
2023-08-27 00:00:00-03:00,22.66,3.9,4.89
2023-08-28 00:00:00-03:00,21.02,2.84,3.3
2023-08-29 00:00:00-03:00,22.32,5.18,6.32
2023-08-30 00:00:00-03:00,21.35,4.3,5.09
2023-08-31 00:00:00-03:00,22.71,6.38,8.15
2023-09-01 00:00:00-03:00,23.1,6.01,7.73
2023-09-02 00:00:00-03:00,23.24,5.37,6.73
2023-09-03 00:00:00-03:00,24.05,6.09,8.06
2023-09-04 00:00:00-03:00,22.76,4.9,6.07
2023-09-05 00:00:00-03:00,,4.45,5.63
2023-09-06 00:00:00-03:00,,5.87,7.66
2023-09-07 00:00:00-03:00,,7.01,9.49
2023-09-08 00:00:00-03:00,,6.29,8.12
2023-09-09 00:00:00-03:00,,6.28,8.13
2023-09-10 00:00:00-03:00,,7.08,9.55
2023-09-11 00:00:00-03:00,,7.19,9.69
2023-09-12 00:00:00-03:00,,6.27,7.98
2023-09-13 00:00:00-03:00,22.94,6.37,8.09
2023-09-14 00:00:00-03:00,23.43,6.32,8.07
2023-09-15 00:00:00-03:00,22.65,4.49,5.34
2023-09-16 00:00:00-03:00,23.62,4.71,5.65
2023-09-17 00:00:00-03:00,24.86,6.01,7.27
2023-09-18 00:00:00-03:00,25.02,6.82,8.88
2023-09-19 00:00:00-03:00,26.06,6.34,8.3
2023-09-20 00:00:00-03:00,27.21,6.5,8.38
2023-09-21 00:00:00-03:00,26.46,6.57,8.5
2023-09-22 00:00:00-03:00,26.7,6.3,7.97
2023-09-23 00:00:00-03:00,27.25,6.06,7.62
2023-09-24 00:00:00-03:00,27.73,5.67,6.98
2023-09-25 00:00:00-03:00,26.44,5.62,6.88
2023-09-26 00:00:00-03:00,26.38,5.68,7.44
2023-09-27 00:00:00-03:00,24.9,6.05,7.35
2023-09-28 00:00:00-03:00,24.71,4.88,5.73
2023-09-29 00:00:00-03:00,23.73,5.42,6.37
2023-09-30 00:00:00-03:00,25.39,7.03,9.04
2023-10-01 00:00:00-03:00,23.24,6.51,8.01
2023-10-02 00:00:00-03:00,20.41,4.89,5.73
2023-10-03 00:00:00-03:00,21.36,4.16,4.86
2023-10-04 00:00:00-03:00,22.94,5.14,6.03
2023-10-05 00:00:00-03:00,23.56,4.6,5.5
2023-10-06 00:00:00-03:00,21.95,4.85,5.85
2023-10-07 00:00:00-03:00,22.37,5.83,7.11
2023-10-08 00:00:00-03:00,24.04,5.51,6.45
2023-10-09 00:00:00-03:00,23.77,4.4,5.23
2023-10-10 00:00:00-03:00,25.54,5.97,7.09
2023-10-11 00:00:00-03:00,25.48,7.58,9.86
2023-10-12 00:00:00-03:00,25.49,6.84,8.57
2023-10-13 00:00:00-03:00,23.69,5.01,5.93
2023-10-14 00:00:00-03:00,23.71,6.98,8.96
2023-10-15 00:00:00-03:00,25.04,7.35,9.31
2023-10-16 00:00:00-03:00,24.28,7.54,9.57
2023-10-17 00:00:00-03:00,26.98,7.13,9.08
2023-10-18 00:00:00-03:00,24.15,8.09,10.55
2023-10-19 00:00:00-03:00,25.86,7.2,9.04
2023-10-20 00:00:00-03:00,25.67,5.5,6.71
2023-10-21 00:00:00-03:00,23.95,5.51,6.92
2023-10-22 00:00:00-03:00,22.96,7.64,9.84
2023-10-23 00:00:00-03:00,24.9,7.08,8.82
2023-10-24 00:00:00-03:00,22.9,6.62,8.17
2023-10-25 00:00:00-03:00,22.52,5.98,7.0
