date_time,air_temp,gti,ghi
2023-06-01 00:00:00-03:00,17.04,0.0,0.0
2023-06-01 01:00:00-03:00,15.78,0.0,0.0
2023-06-01 02:00:00-03:00,16.28,0.0,0.0
2023-06-01 03:00:00-03:00,16.13,0.0,0.0
2023-06-01 04:00:00-03:00,17.94,0.0,0.0
2023-06-01 05:00:00-03:00,14.86,0.0,0.0
2023-06-01 06:00:00-03:00,14.8,77.48,39.13
2023-06-01 07:00:00-03:00,19.27,448.97,256.0
2023-06-01 08:00:00-03:00,20.97,724.51,469.68
2023-06-01 09:00:00-03:00,22.82,786.06,577.36
2023-06-01 10:00:00-03:00,24.69,697.99,596.57
2023-06-01 11:00:00-03:00,24.6,560.67,480.9
2023-06-01 12:00:00-03:00,24.69,583.11,481.29
2023-06-01 13:00:00-03:00,25.57,801.82,619.23
2023-06-01 14:00:00-03:00,25.86,470.86,378.62
2023-06-01 15:00:00-03:00,25.41,206.91,178.18
2023-06-01 16:00:00-03:00,24.41,106.17,79.2
2023-06-01 17:00:00-03:00,22.41,98.22,9.98
2023-06-01 18:00:00-03:00,20.0,0.0,0.0
2023-06-01 19:00:00-03:00,18.5,0.0,0.0
2023-06-01 20:00:00-03:00,18.42,0.0,0.0
2023-06-01 21:00:00-03:00,17.04,0.0,0.0
2023-06-01 22:00:00-03:00,15.98,0.0,0.0
2023-06-01 23:00:00-03:00,16.19,0.0,0.0
2023-06-02 00:00:00-03:00,15.18,0.0,0.0
2023-06-02 01:00:00-03:00,14.36,0.0,0.0
2023-06-02 02:00:00-03:00,13.75,0.0,0.0
2023-06-02 03:00:00-03:00,13.41,0.0,0.0
2023-06-02 04:00:00-03:00,13.46,0.0,0.0
2023-06-02 05:00:00-03:00,13.02,0.0,0.0
2023-06-02 06:00:00-03:00,13.04,102.43,48.03
2023-06-02 07:00:00-03:00,17.95,494.78,269.93
2023-06-02 08:00:00-03:00,20.36,753.0,482.31
2023-06-02 09:00:00-03:00,22.32,929.21,651.75
2023-06-02 10:00:00-03:00,24.29,1036.85,764.78
2023-06-02 11:00:00-03:00,24.89,1001.61,764.95
2023-06-02 12:00:00-03:00,25.59,817.72,678.64
2023-06-02 13:00:00-03:00,26.24,551.13,473.0
2023-06-02 14:00:00-03:00,26.27,496.79,401.11
2023-06-02 15:00:00-03:00,24.92,547.31,331.52
2023-06-02 16:00:00-03:00,24.63,229.82,118.21
2023-06-02 17:00:00-03:00,21.36,61.0,8.91
2023-06-02 18:00:00-03:00,18.56,0.0,0.0
2023-06-02 19:00:00-03:00,17.31,0.0,0.0
2023-06-02 20:00:00-03:00,16.9,0.0,0.0
2023-06-02 21:00:00-03:00,16.03,0.0,0.0
2023-06-02 22:00:00-03:00,17.36,0.0,0.0
2023-06-02 23:00:00-03:00,17.59,0.0,0.0
2023-06-03 00:00:00-03:00,17.64,0.0,0.0
2023-06-03 01:00:00-03:00,16.07,0.0,0.0
2023-06-03 02:00:00-03:00,15.61,0.0,0.0
2023-06-03 03:00:00-03:00,16.43,0.0,0.0
2023-06-03 04:00:00-03:00,16.1,0.0,0.0
2023-06-03 05:00:00-03:00,15.37,0.0,0.0
2023-06-03 06:00:00-03:00,16.18,106.23,48.72
2023-06-03 07:00:00-03:00,17.94,506.16,275.16
2023-06-03 08:00:00-03:00,19.76,767.22,490.56
2023-06-03 09:00:00-03:00,21.61,943.15,660.75
2023-06-03 10:00:00-03:00,22.99,1053.85,776.53
2023-06-03 11:00:00-03:00,24.14,1089.13,820.11
2023-06-03 12:00:00-03:00,25.06,1047.99,788.78
2023-06-03 13:00:00-03:00,25.86,920.97,672.82
2023-06-03 14:00:00-03:00,25.57,740.52,510.49
2023-06-03 15:00:00-03:00,25.56,534.59,326.46
2023-06-03 16:00:00-03:00,,265.0,126.78
2023-06-03 17:00:00-03:00,,109.59,10.74
2023-06-03 18:00:00-03:00,,0.0,0.0
2023-06-03 19:00:00-03:00,,0.0,0.0
2023-06-03 20:00:00-03:00,18.39,0.0,0.0
2023-06-03 21:00:00-03:00,17.96,0.0,0.0
2023-06-03 22:00:00-03:00,17.88,0.0,0.0
2023-06-03 23:00:00-03:00,18.46,0.0,0.0
2023-06-04 00:00:00-03:00,17.51,0.0,0.0
2023-06-04 01:00:00-03:00,16.01,0.0,0.0
2023-06-04 02:00:00-03:00,15.9,0.0,0.0
2023-06-04 03:00:00-03:00,16.28,0.0,0.0
2023-06-04 04:00:00-03:00,15.91,0.0,0.0
2023-06-04 05:00:00-03:00,14.99,0.0,0.0
2023-06-04 06:00:00-03:00,15.58,115.57,57.69
2023-06-04 07:00:00-03:00,17.26,504.63,273.76
2023-06-04 08:00:00-03:00,19.0,763.31,487.74
2023-06-04 09:00:00-03:00,20.93,941.44,658.98
2023-06-04 10:00:00-03:00,22.75,1052.25,774.77
2023-06-04 11:00:00-03:00,23.77,1087.88,819.15
2023-06-04 12:00:00-03:00,24.3,1055.76,792.55
2023-06-04 13:00:00-03:00,25.78,842.99,624.08
2023-06-04 14:00:00-03:00,24.73,740.01,509.03
2023-06-04 15:00:00-03:00,25.05,554.33,335.43
2023-06-04 16:00:00-03:00,23.76,268.76,127.65
