date_time,pv_energy,pv_energy_est,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2022-12-13,376.9092,382.1942,4.3778,4.7071,7.3742,8.2907,4.105,0.6642,0.3477,0.063,1.5,0.6936,79.6557,58.3857,12.1169,258.8845,63.4644,3.8007,3.3153,0.0,9.5875,3.3312,35.6174,31.3546,0.0,93.6992,30.6407,24.1947,27.8854,0.0,88.0772,11.5265,23.24,1.2189,20.0,25.0,24.0,34.1844,8.6947,20.3438,48.9688,33.3281,3.6487,0.4645,2.1,4.2,3.7,42.37,30.9074,0.0,94.0,37.55,12.5,4,0.5937,2
2022-12-14,458.4458,460.3712,5.1129,5.3861,7.4083,8.3254,4.7874,0.7004,0.1628,0.3186,1.016,0.6627,52.5765,22.9747,10.098,106.8299,53.5078,4.7375,3.1041,0.0,9.5625,4.8062,29.974,16.2607,0.0,68.1416,33.7268,14.1669,11.8787,0.0,54.4451,13.1487,23.5203,1.8238,19.0,26.0,24.0,36.4753,8.3842,19.4375,48.9062,37.0156,3.0912,0.5664,2.0,3.9,3.2,37.8284,19.4776,0.0,80.3,40.0,12.3333,1,0.6902,3
2022-12-15,318.1975,300.3993,3.515,3.6057,7.4181,8.3635,3.3717,0.5562,0.2603,0.1796,1.48,0.5256,38.8396,18.4911,7.9023,101.5664,35.7419,2.7759,2.2541,0.0,6.85,2.65,45.7515,22.5053,0.0,82.0433,47.4413,28.3066,18.4735,0.0,70.1471,25.4788,22.5933,1.4052,19.0,24.0,23.0,31.3808,6.3956,19.4062,42.125,31.625,3.1767,0.7685,2.0,4.5,3.2,55.69,15.6073,6.6,85.5,54.7,12.5,0,0.4738,2
2022-12-16,245.9675,217.7036,2.6816,2.7372,7.4032,8.3521,2.6073,0.4486,0.2976,0.0949,1.5,0.3801,44.6511,27.8952,7.1239,115.1064,39.3437,1.7175,1.6204,0.0,4.8375,1.1938,56.9118,24.7565,0.0,90.5095,61.9897,40.9672,24.4408,0.0,82.3636,40.4178,21.8067,0.9319,20.0,23.0,22.0,28.5106,4.9872,20.4688,37.0938,27.9844,2.9953,0.6441,1.7,4.0,3.2,65.2873,17.4247,23.1,91.0,65.0,12.5,0,0.3622,2
2022-12-17,217.0833,178.2274,2.2251,2.2959,7.3609,8.2658,2.1541,0.3459,0.3127,0.0432,1.5,0.2433,48.7987,50.731,1.4668,238.1518,30.4615,1.4775,1.9888,0.0,7.6125,0.3625,66.6486,27.4684,0.0,95.6835,75.6674,53.6916,29.8434,0.0,92.1432,58.2639,21.3121,1.8092,19.0,24.0,22.0,27.2298,6.3282,19.375,44.0312,25.9062,3.7773,0.7495,1.6,4.9,3.9,71.6816,22.7273,2.1,96.3,77.1,11.75,4,0.3023,2
2022-12-18,399.7133,401.3593,4.5423,4.8249,7.4261,8.3845,4.2751,0.6937,0.2993,0.0753,1.5,0.6964,56.9182,34.1765,17.1782,186.651,46.6219,3.8373,3.1851,0.0,9.2375,4.0125,32.8239,25.9861,0.0,92.4749,30.3644,19.115,22.9289,0.0,86.2791,11.0485,22.9139,1.5914,19.0,25.0,23.0,34.1945,8.5057,19.3438,48.0938,35.0312,2.9073,0.5665,2.2,4.3,2.8,41.504,24.1908,0.0,93.3,38.0,12.5833,2,0.6117,1
2022-12-19,115.4883,507.8546,5.6651,5.9641,7.3706,8.3156,5.2613,0.7516,0.1109,0.5259,1.15,0.7536,48.2464,21.2158,13.7055,96.5632,44.917,4.9674,3.6393,0.0,10.8,4.8625,24.9796,10.6888,0.0,47.4138,24.6377,9.9062,7.9615,0.0,32.4739,8.475,22.7919,1.367,20.0,25.0,23.0,37.0497,9.6438,20.5938,52.0,37.1562,2.5973,0.2633,2.0,3.1,2.6,35.0208,16.7123,10.0,71.7,33.0,12.4167,0,0.7686,3
2022-12-20,315.8158,322.8026,3.6993,3.8121,7.4083,8.3748,3.574,0.6005,0.2356,0.222,1.5,0.5603,41.8659,19.3411,8.0052,111.5937,38.3606,2.6794,1.6337,0.0,5.2125,2.825,40.9028,21.0518,0.0,77.8,43.9669,23.68,16.8008,0.0,61.462,22.8047,21.9262,1.0597,19.0,23.0,22.0,31.2364,4.9531,19.3438,38.0312,32.0625,4.9188,0.7586,3.3,5.9,5.1,51.6409,15.6024,19.6,83.8,52.0,12.4167,0,0.4993,2
2022-12-21,236.7733,214.238,2.6409,2.7487,7.4119,8.3802,2.5724,0.4725,0.3539,0.0658,1.5,0.357,35.3181,20.2865,4.3866,84.9839,32.6654,1.5261,1.6312,0.0,5.325,1.2688,55.3771,29.276,0.0,93.4169,64.2989,41.2519,28.2757,0.0,87.8119,44.8125,20.9067,1.0951,19.0,23.0,21.0,27.509,5.4437,19.5312,38.3125,28.1719,2.928,0.6786,1.1,3.7,3.2,62.2433,24.7429,0.0,94.0,69.0,12.5,0,0.3563,2
2022-12-22,549.2325,588.9578,6.6386,7.1647,7.5281,8.474,6.0507,0.8948,0.1272,0.557,1.5,0.8828,54.3201,16.7762,15.9763,91.1007,56.926,6.4275,4.3283,0.0,12.95,6.8375,12.0888,8.5997,0.0,44.3038,11.716,3.093,3.817,0.0,23.5253,1.773,24.0067,2.9213,18.0,27.0,25.0,40.7146,11.407,18.75,57.375,42.0938,1.2852,0.6893,0.3,2.7,1.2,20.6376,13.6616,0.0,54.9,16.7,12.4167,0,0.8818,3
