date_time,ldtea_5,ldtea_6,ldtea_7,ldtea_8,uac_1,uac_2,ldtea_total,ldtea_avg,uac_total,uac_avg
2023-06-01 00:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 06:00:00-03:00,0.26,0.27,0.16,0.08,0.18,0.13,0.77,0.19,0.31,0.16
2023-06-01 07:00:00-03:00,6.39,6.35,3.18,0.76,6.09,5.83,16.68,4.17,11.92,5.96
2023-06-01 08:00:00-03:00,12.91,12.77,8.53,5.0,14.78,14.75,39.21,9.8,29.53,14.76
2023-06-01 09:00:00-03:00,16.79,16.6,13.77,10.67,21.35,21.71,57.83,14.46,43.06,21.53
2023-06-01 10:00:00-03:00,9.94,9.86,9.23,7.93,13.15,13.41,36.96,9.24,26.56,13.28
2023-06-01 11:00:00-03:00,10.27,10.14,9.99,9.17,14.34,15.03,39.57,9.89,29.37,14.68
2023-06-01 12:00:00-03:00,11.07,11.07,11.6,11.07,16.4,17.12,44.81,11.2,33.52,16.76
2023-06-01 13:00:00-03:00,14.27,13.92,15.7,16.13,22.95,24.18,60.02,15.0,47.13,23.56
2023-06-01 14:00:00-03:00,10.84,10.62,12.92,13.78,18.38,19.27,48.16,12.04,37.65,18.82
2023-06-01 15:00:00-03:00,5.36,5.33,7.15,7.81,10.8,11.33,25.65,6.41,22.13,11.07
2023-06-01 16:00:00-03:00,2.52,2.47,3.73,4.3,8.37,8.85,13.02,3.26,17.22,8.61
2023-06-01 17:00:00-03:00,0.39,0.39,0.73,0.91,0.77,0.93,2.42,0.6,1.7,0.85
2023-06-01 18:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 01:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 02:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 03:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 04:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 05:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 06:00:00-03:00,0.74,0.72,0.36,0.08,0.34,0.25,1.9,0.48,0.59,0.3
2023-06-02 07:00:00-03:00,7.25,7.2,3.46,0.63,6.77,6.44,18.54,4.64,13.21,6.6
2023-06-02 08:00:00-03:00,13.56,13.47,8.96,5.16,15.45,15.37,41.15,10.29,30.82,15.41
2023-06-02 09:00:00-03:00,17.75,17.65,14.54,11.13,22.4,22.67,61.07,15.27,45.07,22.54
2023-06-02 10:00:00-03:00,19.76,19.65,17.96,15.27,26.88,27.5,72.64,18.16,54.38,27.19
2023-06-02 11:00:00-03:00,20.64,20.5,20.22,18.41,29.49,30.48,79.77,19.94,59.97,29.98
2023-06-02 12:00:00-03:00,18.87,19.23,20.4,18.93,31.26,32.92,77.43,19.36,64.18,32.09
2023-06-02 13:00:00-03:00,11.33,11.2,12.62,12.7,23.45,24.04,47.85,11.96,47.49,23.74
2023-06-02 14:00:00-03:00,7.34,7.05,8.6,9.41,11.7,11.87,32.4,8.1,23.57,11.78
2023-06-02 15:00:00-03:00,5.5,5.34,8.56,10.18,13.65,14.49,29.58,7.4,28.14,14.07
2023-06-02 16:00:00-03:00,1.8,1.74,5.18,7.24,9.28,9.88,15.96,3.99,19.16,9.58
2023-06-02 17:00:00-03:00,0.29,0.28,0.92,1.29,1.1,1.38,2.78,0.7,2.48,1.24
2023-06-02 18:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 19:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 20:00:00-03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
