date_time,uac_total,uac_avg
2023-06-01 00:00:00-03:00,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0
2023-06-01 06:00:00-03:00,0.31,0.16
2023-06-01 07:00:00-03:00,11.92,5.96
2023-06-01 08:00:00-03:00,29.53,14.76
2023-06-01 09:00:00-03:00,43.06,21.53
2023-06-01 10:00:00-03:00,26.56,13.28
2023-06-01 11:00:00-03:00,29.37,14.68
2023-06-01 12:00:00-03:00,33.52,16.76
2023-06-01 13:00:00-03:00,47.13,23.56
2023-06-01 14:00:00-03:00,37.65,18.82
2023-06-01 15:00:00-03:00,22.13,11.07
2023-06-01 16:00:00-03:00,17.22,8.61
2023-06-01 17:00:00-03:00,1.7,0.85
2023-06-01 18:00:00-03:00,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0
2023-06-02 01:00:00-03:00,0.0,0.0
2023-06-02 02:00:00-03:00,0.0,0.0
2023-06-02 03:00:00-03:00,0.0,0.0
2023-06-02 04:00:00-03:00,0.0,0.0
2023-06-02 05:00:00-03:00,0.0,0.0
2023-06-02 06:00:00-03:00,0.59,0.3
2023-06-02 07:00:00-03:00,13.21,6.6
2023-06-02 08:00:00-03:00,30.82,15.41
2023-06-02 09:00:00-03:00,45.07,22.54
2023-06-02 10:00:00-03:00,54.38,27.19
2023-06-02 11:00:00-03:00,59.97,29.98
2023-06-02 12:00:00-03:00,64.18,32.09
2023-06-02 13:00:00-03:00,47.49,23.74
2023-06-02 14:00:00-03:00,23.57,11.78
2023-06-02 15:00:00-03:00,28.14,14.07
