date_time,uac_avg,uac_total,air_temp,ghi,gti
2023-06-01 00:00:00-03:00,0.0,0.0,18.0,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0,17.25,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0,16.75,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0,16.5,0.0,0.0
2023-06-01 06:00:00-03:00,0.16,0.31,17.0,8.25,9.0
2023-06-01 07:00:00-03:00,5.96,11.92,18.25,152.75,218.5
2023-06-01 08:00:00-03:00,14.76,29.53,20.0,365.0,465.5
2023-06-01 09:00:00-03:00,21.53,43.06,21.5,557.5,677.5
2023-06-01 10:00:00-03:00,13.28,26.56,23.0,634.25,737.25
2023-06-01 11:00:00-03:00,14.68,29.37,24.5,575.0,623.0
2023-06-01 12:00:00-03:00,16.76,33.52,25.0,543.0,572.25
2023-06-01 13:00:00-03:00,23.56,47.13,26.0,596.0,669.25
2023-06-01 14:00:00-03:00,18.82,37.65,26.0,475.25,530.5
2023-06-01 15:00:00-03:00,11.07,22.13,26.0,331.5,372.75
2023-06-01 16:00:00-03:00,8.61,17.22,25.25,120.0,122.0
2023-06-01 17:00:00-03:00,0.85,1.7,24.0,25.0,25.25
2023-06-01 18:00:00-03:00,0.0,0.0,22.25,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0,21.25,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0,20.75,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0,19.0,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0,18.25,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-02 01:00:00-03:00,0.0,0.0,16.5,0.0,0.0
2023-06-02 02:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-02 03:00:00-03:00,0.0,0.0,15.5,0.0,0.0
2023-06-02 04:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-02 05:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-02 06:00:00-03:00,0.3,0.59,15.5,10.75,17.75
2023-06-02 07:00:00-03:00,6.6,13.21,17.5,164.25,243.5
2023-06-02 08:00:00-03:00,15.41,30.82,19.5,381.0,490.75
2023-06-02 09:00:00-03:00,22.54,45.07,21.0,573.5,699.5
2023-06-02 10:00:00-03:00,27.19,54.38,22.5,716.5,852.75
2023-06-02 11:00:00-03:00,29.98,59.97,24.5,797.5,938.75
2023-06-02 12:00:00-03:00,32.09,64.18,26.0,731.0,844.5
2023-06-02 13:00:00-03:00,23.74,47.49,26.25,624.25,709.5
2023-06-02 14:00:00-03:00,11.78,23.57,27.0,540.5,630.5
2023-06-02 15:00:00-03:00,14.07,28.14,26.5,411.25,507.75
2023-06-02 16:00:00-03:00,9.58,19.16,25.75,233.5,324.0
2023-06-02 17:00:00-03:00,1.24,2.48,24.0,38.5,63.0
2023-06-02 18:00:00-03:00,0.0,0.0,21.75,0.0,0.0
2023-06-02 19:00:00-03:00,0.0,0.0,20.75,0.0,0.0
2023-06-02 20:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-02 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-02 22:00:00-03:00,0.0,0.0,19.75,0.0,0.0
2023-06-02 23:00:00-03:00,0.0,0.0,18.75,0.0,0.0
2023-06-03 00:00:00-03:00,0.0,0.0,18.0,0.0,0.0
2023-06-03 01:00:00-03:00,0.0,0.0,17.25,0.0,0.0
2023-06-03 02:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-03 03:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-03 04:00:00-03:00,0.0,0.0,15.75,0.0,0.0
2023-06-03 05:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-03 06:00:00-03:00,0.28,0.55,15.75,10.25,17.25
2023-06-03 07:00:00-03:00,6.46,12.92,17.25,165.5,246.75
2023-06-03 08:00:00-03:00,15.4,30.8,18.75,383.75,495.5
2023-06-03 09:00:00-03:00,22.77,45.54,20.5,578.0,706.5
2023-06-03 10:00:00-03:00,27.93,55.86,22.0,722.25,861.25
2023-06-03 11:00:00-03:00,30.45,60.9,24.0,803.75,947.5
2023-06-03 12:00:00-03:00,30.44,60.87,25.25,809.0,951.5
2023-06-03 13:00:00-03:00,29.59,59.18,26.0,689.5,804.5
2023-06-03 14:00:00-03:00,24.65,49.3,26.0,623.0,752.25
2023-06-03 15:00:00-03:00,18.18,36.37,26.0,449.75,567.25
2023-06-03 16:00:00-03:00,9.25,18.5,25.5,234.25,325.5
2023-06-03 17:00:00-03:00,1.13,2.26,23.75,40.75,69.5
2023-06-03 18:00:00-03:00,0.0,0.0,21.5,0.0,0.0
2023-06-03 19:00:00-03:00,0.0,0.0,21.0,0.0,0.0
2023-06-03 20:00:00-03:00,0.0,0.0,20.5,0.0,0.0
2023-06-03 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-03 22:00:00-03:00,0.0,0.0,19.0,0.0,0.0
2023-06-03 23:00:00-03:00,0.0,0.0,18.5,0.0,0.0
2023-06-04 00:00:00-03:00,0.0,0.0,17.5,0.0,0.0
2023-06-04 01:00:00-03:00,0.0,0.0,16.75,0.0,0.0
2023-06-04 02:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-04 03:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-04 04:00:00-03:00,0.0,0.0,14.75,0.0,0.0
2023-06-04 05:00:00-03:00,0.0,0.0,14.0,0.0,0.0
2023-06-04 06:00:00-03:00,0.27,0.54,15.0,10.25,17.25
2023-06-04 07:00:00-03:00,6.57,13.14,16.5,164.5,246.25
2023-06-04 08:00:00-03:00,15.54,31.09,18.5,383.75,496.25
2023-06-04 09:00:00-03:00,22.92,45.84,20.0,579.25,708.75
2023-06-04 10:00:00-03:00,27.76,55.53,21.5,724.5,864.5
2023-06-04 11:00:00-03:00,30.16,60.31,23.75,806.75,952.25
2023-06-04 12:00:00-03:00,29.98,59.97,25.0,817.75,964.0
2023-06-04 13:00:00-03:00,27.56,55.13,26.0,757.75,899.25
2023-06-04 14:00:00-03:00,19.63,39.26,26.0,631.0,764.25
2023-06-04 15:00:00-03:00,17.96,35.93,26.0,451.75,571.25
2023-06-04 16:00:00-03:00,9.65,19.3,25.25,238.0,333.75
2023-06-04 17:00:00-03:00,1.3,2.59,23.25,39.75,66.25
