date_time,ldtea_avg,ldtea_total,air_temp,ghi,gti
2023-06-01 00:00:00-03:00,0.0,0.0,18.0,0.0,0.0
2023-06-01 01:00:00-03:00,0.0,0.0,17.25,0.0,0.0
2023-06-01 02:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-01 03:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-01 04:00:00-03:00,0.0,0.0,16.75,0.0,0.0
2023-06-01 05:00:00-03:00,0.0,0.0,16.5,0.0,0.0
2023-06-01 06:00:00-03:00,0.19,0.77,17.0,8.25,9.0
2023-06-01 07:00:00-03:00,4.17,16.68,18.25,152.75,218.5
2023-06-01 08:00:00-03:00,9.8,39.21,20.0,365.0,465.5
2023-06-01 09:00:00-03:00,14.46,57.83,21.5,557.5,677.5
2023-06-01 10:00:00-03:00,9.24,36.96,23.0,634.25,737.25
2023-06-01 11:00:00-03:00,9.89,39.57,24.5,575.0,623.0
2023-06-01 12:00:00-03:00,11.2,44.81,25.0,543.0,572.25
2023-06-01 13:00:00-03:00,15.0,60.02,26.0,596.0,669.25
2023-06-01 14:00:00-03:00,12.04,48.16,26.0,475.25,530.5
2023-06-01 15:00:00-03:00,6.41,25.65,26.0,331.5,372.75
2023-06-01 16:00:00-03:00,3.26,13.02,25.25,120.0,122.0
2023-06-01 17:00:00-03:00,0.6,2.42,24.0,25.0,25.25
2023-06-01 18:00:00-03:00,0.0,0.0,22.25,0.0,0.0
2023-06-01 19:00:00-03:00,0.0,0.0,21.25,0.0,0.0
2023-06-01 20:00:00-03:00,0.0,0.0,20.75,0.0,0.0
2023-06-01 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-01 22:00:00-03:00,0.0,0.0,19.0,0.0,0.0
2023-06-01 23:00:00-03:00,0.0,0.0,18.25,0.0,0.0
2023-06-02 00:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-02 01:00:00-03:00,0.0,0.0,16.5,0.0,0.0
2023-06-02 02:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-02 03:00:00-03:00,0.0,0.0,15.5,0.0,0.0
2023-06-02 04:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-02 05:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-02 06:00:00-03:00,0.48,1.9,15.5,10.75,17.75
2023-06-02 07:00:00-03:00,4.64,18.54,17.5,164.25,243.5
2023-06-02 08:00:00-03:00,10.29,41.15,19.5,381.0,490.75
2023-06-02 09:00:00-03:00,15.27,61.07,21.0,573.5,699.5
2023-06-02 10:00:00-03:00,18.16,72.64,22.5,716.5,852.75
2023-06-02 11:00:00-03:00,19.94,79.77,24.5,797.5,938.75
2023-06-02 12:00:00-03:00,19.36,77.43,26.0,731.0,844.5
2023-06-02 13:00:00-03:00,11.96,47.85,26.25,624.25,709.5
2023-06-02 14:00:00-03:00,8.1,32.4,27.0,540.5,630.5
2023-06-02 15:00:00-03:00,7.4,29.58,26.5,411.25,507.75
2023-06-02 16:00:00-03:00,3.99,15.96,25.75,233.5,324.0
2023-06-02 17:00:00-03:00,0.7,2.78,24.0,38.5,63.0
2023-06-02 18:00:00-03:00,0.0,0.0,21.75,0.0,0.0
2023-06-02 19:00:00-03:00,0.0,0.0,20.75,0.0,0.0
2023-06-02 20:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-02 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-02 22:00:00-03:00,0.0,0.0,19.75,0.0,0.0
2023-06-02 23:00:00-03:00,0.0,0.0,18.75,0.0,0.0
2023-06-03 00:00:00-03:00,0.0,0.0,18.0,0.0,0.0
2023-06-03 01:00:00-03:00,0.0,0.0,17.25,0.0,0.0
2023-06-03 02:00:00-03:00,0.0,0.0,17.0,0.0,0.0
2023-06-03 03:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-03 04:00:00-03:00,0.0,0.0,15.75,0.0,0.0
2023-06-03 05:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-03 06:00:00-03:00,0.44,1.76,15.75,10.25,17.25
2023-06-03 07:00:00-03:00,4.56,18.22,17.25,165.5,246.75
2023-06-03 08:00:00-03:00,10.28,41.14,18.75,383.75,495.5
2023-06-03 09:00:00-03:00,15.45,61.8,20.5,578.0,706.5
2023-06-03 10:00:00-03:00,18.73,74.9,22.0,722.25,861.25
2023-06-03 11:00:00-03:00,20.07,80.27,24.0,803.75,947.5
2023-06-03 12:00:00-03:00,19.48,77.9,25.25,809.0,951.5
2023-06-03 13:00:00-03:00,17.9,71.62,26.0,689.5,804.5
2023-06-03 14:00:00-03:00,14.24,56.96,26.0,623.0,752.25
2023-06-03 15:00:00-03:00,9.01,36.03,26.0,449.75,567.25
2023-06-03 16:00:00-03:00,3.66,14.66,25.5,234.25,325.5
2023-06-03 17:00:00-03:00,0.64,2.55,23.75,40.75,69.5
2023-06-03 18:00:00-03:00,0.0,0.0,21.5,0.0,0.0
2023-06-03 19:00:00-03:00,0.0,0.0,21.0,0.0,0.0
2023-06-03 20:00:00-03:00,0.0,0.0,20.5,0.0,0.0
2023-06-03 21:00:00-03:00,0.0,0.0,20.0,0.0,0.0
2023-06-03 22:00:00-03:00,0.0,0.0,19.0,0.0,0.0
2023-06-03 23:00:00-03:00,0.0,0.0,18.5,0.0,0.0
2023-06-04 00:00:00-03:00,0.0,0.0,17.5,0.0,0.0
2023-06-04 01:00:00-03:00,0.0,0.0,16.75,0.0,0.0
2023-06-04 02:00:00-03:00,0.0,0.0,16.0,0.0,0.0
2023-06-04 03:00:00-03:00,0.0,0.0,15.0,0.0,0.0
2023-06-04 04:00:00-03:00,0.0,0.0,14.75,0.0,0.0
2023-06-04 05:00:00-03:00,0.0,0.0,14.0,0.0,0.0
2023-06-04 06:00:00-03:00,0.45,1.81,15.0,10.25,17.25
2023-06-04 07:00:00-03:00,4.63,18.52,16.5,164.5,246.25
2023-06-04 08:00:00-03:00,10.36,41.46,18.5,383.75,496.25
2023-06-04 09:00:00-03:00,15.54,62.15,20.0,579.25,708.75
2023-06-04 10:00:00-03:00,18.6,74.4,21.5,724.5,864.5
2023-06-04 11:00:00-03:00,19.85,79.39,23.75,806.75,952.25
2023-06-04 12:00:00-03:00,19.08,76.32,25.0,817.75,964.0
2023-06-04 13:00:00-03:00,16.92,67.66,26.0,757.75,899.25
2023-06-04 14:00:00-03:00,10.07,40.27,26.0,631.0,764.25
2023-06-04 15:00:00-03:00,8.79,35.16,26.0,451.75,571.25
2023-06-04 16:00:00-03:00,3.79,15.15,25.25,238.0,333.75
2023-06-04 17:00:00-03:00,0.73,2.91,23.25,39.75,66.25
