date_time,pv_energy,income_value,full_power_hours,filled
2022-04-13,495.60,322.14,3.54,False
2022-04-14,694.50,451.43,4.96,False
2022-04-15,686.20,446.03,4.90,False
2022-04-16,712.90,463.38,5.09,False
2022-04-17,567.70,369.00,4.05,False
2022-04-18,663.10,431.01,4.74,False
2022-04-19,690.70,448.95,4.93,False
2022-04-20,711.90,462.74,5.08,False
2022-04-21,646.20,420.03,4.62,False
2022-04-22,668.90,434.79,4.78,False
2022-04-23,464.30,301.80,3.32,False
2022-04-24,664.20,431.73,4.74,False
2022-04-25,747.60,485.94,5.34,False
2022-04-26,715.90,465.33,5.11,False
2022-04-27,678.30,440.89,4.84,False
2022-04-28,686.90,446.49,4.91,False
2022-04-29,683.80,444.47,4.88,False
2022-04-30,713.00,463.45,5.09,False
2022-05-01,614.20,399.23,4.39,False
2022-05-02,533.20,346.58,3.81,False
2022-05-03,545.00,354.25,3.89,False
2022-05-04,594.00,386.10,4.24,False
2022-05-05,543.60,353.34,3.88,False
2022-05-06,569.00,369.85,4.06,False
2022-05-07,536.50,348.73,3.83,False
2022-05-08,635.60,413.14,4.54,False
2022-05-09,675.00,438.75,4.82,False
2022-05-10,621.40,403.91,4.44,False
2022-05-11,589.70,383.31,4.21,False
2022-05-12,383.60,249.34,2.74,False
2022-05-13,488.60,317.59,3.49,False
2022-05-14,610.10,396.56,4.36,False
2022-05-15,558.70,363.15,3.99,False
2022-05-16,491.80,319.67,3.51,False
2022-05-17,318.00,206.70,2.27,False
2022-05-18,646.50,420.23,4.62,False
2022-05-19,688.70,447.65,4.92,False
2022-05-20,613.70,398.90,4.38,False
2022-05-21,664.10,431.67,4.74,False
2022-05-22,651.70,423.61,4.66,False
2022-05-23,625.20,406.38,4.47,False
2022-05-24,595.70,387.20,4.25,False
2022-05-25,647.20,420.68,4.62,False
2022-05-26,610.80,397.02,4.36,False
2022-05-27,580.10,377.06,4.14,False
2022-05-28,527.80,343.07,3.77,False
2022-05-29,609.20,395.98,4.35,False
2022-05-30,592.10,384.87,4.23,False
2022-05-31,593.90,386.04,4.24,False
2022-06-01,599.00,389.35,4.28,False
2022-06-02,572.00,371.80,4.09,False
2022-06-03,592.70,385.25,4.23,False
2022-06-04,584.80,380.12,4.18,False
2022-06-05,497.10,323.12,3.55,False
2022-06-06,592.00,384.80,4.23,False
2022-06-07,586.30,381.10,4.19,False
2022-06-08,494.10,321.17,3.53,False
2022-06-09,574.20,373.23,4.10,False
2022-06-10,501.40,325.91,3.58,False
2022-06-11,523.20,340.08,3.74,False
2022-06-12,522.10,339.37,3.73,False
2022-06-13,430.20,279.63,3.07,False
2022-06-14,503.30,327.14,3.60,False
2022-06-15,450.30,292.69,3.22,False
2022-06-16,539.90,350.94,3.86,False
2022-06-17,548.70,356.65,3.92,False
2022-06-18,519.80,337.87,3.71,False
2022-06-19,542.20,352.43,3.87,False
2022-06-20,545.70,354.70,3.90,False
2022-06-21,555.70,361.20,3.97,False
2022-06-22,550.10,357.56,3.93,False
2022-06-23,540.00,351.00,3.86,False
2022-06-24,541.90,352.24,3.87,False
2022-06-25,552.80,359.32,3.95,False
2022-06-26,549.90,357.44,3.93,False
2022-06-27,552.00,358.80,3.94,False
2022-06-28,546.20,355.03,3.90,False
2022-06-29,454.40,295.36,3.25,False
2022-06-30,529.70,344.31,3.78,False
2022-07-01,545.60,354.64,3.90,False
2022-07-02,551.10,358.21,3.94,False
2022-07-03,563.80,366.47,4.03,False
2022-07-04,565.90,367.83,4.04,False
2022-07-05,550.40,357.76,3.93,False
2022-07-06,562.10,365.37,4.01,False
2022-07-07,523.90,340.54,3.74,False
2022-07-08,544.70,354.06,3.89,False
2022-07-09,556.90,361.99,3.98,False
2022-07-10,556.70,361.86,3.98,False
2022-07-11,561.70,365.11,4.01,False
2022-07-12,503.70,327.40,3.60,False
2022-07-13,551.00,358.15,3.94,False
2022-07-14,529.50,344.18,3.78,False
2022-07-15,538.50,350.02,3.85,False
2022-07-16,541.90,352.24,3.87,False
2022-07-17,505.40,328.51,3.61,False
2022-07-18,591.60,384.54,4.23,False
2022-07-19,530.20,344.63,3.79,False
2022-07-20,576.20,374.53,4.12,False
2022-07-21,564.10,366.67,4.03,False
2022-07-22,571.70,371.61,4.08,False
2022-07-23,572.40,372.06,4.09,False
2022-07-24,578.60,376.09,4.13,False
2022-07-25,563.40,366.21,4.02,False
2022-07-26,590.40,383.76,4.22,False
2022-07-27,594.50,386.43,4.25,False
2022-07-28,580.10,377.06,4.14,False
2022-07-29,575.00,373.75,4.11,False
2022-07-30,566.90,368.49,4.05,False
2022-07-31,533.20,346.58,3.81,False
2022-08-01,506.70,329.36,3.62,False
2022-08-02,569.40,370.11,4.07,False
2022-08-03,576.30,374.60,4.12,False
2022-08-04,574.00,373.10,4.10,False
2022-08-05,192.30,125.00,1.37,False
2022-08-06,573.80,372.97,4.10,False
2022-08-07,573.70,372.90,4.10,False
2022-08-08,544.20,353.73,3.89,False
2022-08-09,509.70,331.31,3.64,False
2022-08-10,445.40,289.51,3.18,False
2022-08-11,514.80,334.62,3.68,False
2022-08-12,580.80,377.52,4.15,False
2022-08-13,564.50,366.93,4.03,False
2022-08-14,609.30,396.05,4.35,False
2022-08-15,603.80,392.47,4.31,False
2022-08-16,399.70,259.81,2.85,False
2022-08-17,613.10,398.51,4.38,False
2022-08-18,614.90,399.69,4.39,False
2022-08-19,572.70,372.25,4.09,False
2022-08-20,619.10,402.42,4.42,False
2022-08-21,644.40,418.86,4.60,False
2022-08-22,642.60,417.69,4.59,False
2022-08-23,642.30,417.50,4.59,False
2022-08-24,597.40,388.31,4.27,False
2022-08-25,585.30,380.44,4.18,False
2022-08-26,514.90,334.69,3.68,False
2022-08-27,622.00,404.30,4.44,False
2022-08-28,612.80,398.32,4.38,False
2022-08-29,630.80,410.02,4.51,False
2022-08-30,624.50,405.93,4.46,False
2022-08-31,629.50,409.18,4.50,False
2022-09-01,659.80,428.87,4.71,False
2022-09-02,657.40,427.31,4.70,False
2022-09-03,651.70,423.61,4.66,False
2022-09-04,633.50,411.77,4.53,False
2022-09-05,627.00,407.55,4.48,False
2022-09-06,626.40,407.16,4.47,False
2022-09-07,561.60,365.04,4.01,False
2022-09-08,631.20,410.28,4.51,False
2022-09-09,642.50,417.62,4.59,False
2022-09-10,656.00,426.40,4.69,False
2022-09-11,629.30,409.05,4.50,False
2022-09-12,615.40,400.01,4.40,False
2022-09-13,602.60,391.69,4.30,False
2022-09-14,588.10,382.26,4.20,False
2022-09-15,609.30,396.05,4.35,False
2022-09-16,535.80,348.27,3.83,False
2022-09-17,484.60,314.99,3.46,False
2022-09-18,588.60,382.59,4.20,False
2022-09-19,302.00,196.30,2.16,False
2022-09-20,417.70,271.50,2.98,False
2022-09-21,481.70,313.11,3.44,False
2022-09-22,259.90,168.94,1.86,False
2022-09-23,462.90,300.88,3.31,False
2022-09-24,569.60,370.24,4.07,False
2022-09-25,470.80,306.02,3.36,False
2022-09-26,699.60,454.74,5.00,False
2022-09-27,633.50,411.77,4.53,False
2022-09-28,739.90,480.94,5.29,False
2022-09-29,649.70,422.31,4.64,False
2022-09-30,769.80,500.37,5.50,False
2022-10-01,779.10,506.42,5.57,False
2022-10-02,258.60,168.09,1.85,False
2022-10-03,671.20,436.28,4.79,False
2022-10-04,396.40,257.66,2.83,False
2022-10-05,468.80,304.72,3.35,False
2022-10-06,753.10,489.51,5.38,False
