date_time,pv_energy,income_value,full_power_hours,filled
2022-02-04,442.30,287.49,3.03,False
2022-02-05,445.69,,,True
2022-02-06,449.09,,,True
2022-02-07,452.48,,,True
2022-02-08,455.88,,,True
2022-02-09,459.27,,,True
2022-02-10,462.67,,,True
2022-02-11,466.06,,,True
2022-02-12,469.46,,,True
2022-02-13,472.85,,,True
2022-02-14,476.24,,,True
2022-02-15,479.64,,,True
2022-02-16,483.03,,,True
2022-02-17,486.43,,,True
2022-02-18,489.82,,,True
2022-02-19,493.22,,,True
2022-02-20,496.61,,,True
2022-02-21,500.01,,,True
2022-02-22,503.40,327.21,3.45,False
2022-02-23,733.70,476.90,5.03,False
2022-02-24,440.70,286.45,3.02,False
2022-02-25,753.70,489.90,5.16,False
2022-02-26,863.60,561.34,5.92,False
2022-02-27,870.40,565.76,5.96,False
2022-02-28,783.00,508.95,5.36,False
2022-03-01,916.70,595.86,6.28,False
2022-03-02,776.70,504.86,5.32,False
2022-03-03,459.30,298.55,3.15,False
2022-03-04,520.50,338.32,3.56,False
2022-03-05,859.80,558.87,5.89,False
2022-03-06,605.80,393.77,4.15,False
2022-03-07,767.80,499.07,5.26,False
2022-03-08,714.80,464.62,4.90,False
2022-03-09,794.80,516.62,5.44,False
2022-03-10,737.10,479.12,5.05,False
2022-03-11,627.40,407.81,4.30,False
2022-03-12,532.40,346.06,3.65,False
2022-03-13,537.60,349.44,3.68,False
2022-03-14,425.60,276.64,2.92,False
2022-03-15,440.80,286.52,3.02,False
2022-03-16,637.60,414.44,4.37,False
2022-03-17,786.30,511.10,5.39,False
2022-03-18,532.90,346.38,3.65,False
2022-03-19,673.30,437.64,4.61,False
2022-03-20,833.00,541.45,5.71,False
2022-03-21,836.80,543.92,5.73,False
2022-03-22,868.10,564.26,5.95,False
2022-03-23,717.30,466.25,4.91,False
2022-03-24,693.60,450.84,4.75,False
2022-03-25,721.10,468.71,4.94,False
2022-03-26,645.10,419.31,4.42,False
2022-03-27,774.70,503.56,5.31,False
2022-03-28,786.30,511.10,5.39,False
2022-03-29,832.60,541.19,5.70,False
2022-03-30,668.90,434.79,4.58,False
2022-03-31,666.10,432.96,4.56,False
2022-04-01,694.10,451.17,4.75,False
2022-04-02,828.10,538.26,5.67,False
2022-04-03,787.90,512.13,5.40,False
2022-04-04,785.00,510.25,5.38,False
2022-04-05,773.80,502.97,5.30,False
2022-04-06,717.70,466.50,4.92,False
2022-04-07,635.80,413.27,4.36,False
2022-04-08,701.10,455.71,4.80,False
2022-04-09,466.10,302.96,3.19,False
2022-04-10,520.60,338.39,3.57,False
2022-04-11,477.80,310.57,3.27,False
2022-04-12,532.60,346.19,3.65,False
2022-04-13,523.40,340.21,3.58,False
2022-04-14,647.30,420.75,4.43,False
2022-04-15,679.70,441.81,4.66,False
2022-04-16,767.50,498.88,5.26,False
2022-04-17,592.70,385.25,4.06,False
2022-04-18,691.50,449.48,4.74,False
2022-04-19,734.70,477.56,5.03,False
2022-04-20,746.40,485.16,5.11,False
2022-04-21,652.80,424.32,4.47,False
2022-04-22,643.00,417.95,4.40,False
2022-04-23,697.50,453.38,4.78,False
