date_time,pv_energy,income_value,full_power_hours,filled
2022-02-25,641.60,417.04,5.13,False
2022-02-26,723.70,470.40,5.79,False
2022-02-27,731.00,475.15,5.85,False
2022-02-28,655.90,426.33,5.25,False
2022-03-01,761.50,494.98,6.09,False
2022-03-02,646.10,419.96,5.17,False
2022-03-03,376.50,244.72,3.01,False
2022-03-04,442.80,287.82,3.54,False
2022-03-05,738.90,480.29,5.91,False
2022-03-06,503.40,327.21,4.03,False
2022-03-07,638.30,414.89,5.11,False
2022-03-08,600.10,390.06,4.80,False
2022-03-09,670.70,435.95,5.37,False
2022-03-10,619.10,402.42,4.95,False
2022-03-11,539.50,350.68,4.32,False
2022-03-12,446.70,290.36,3.57,False
2022-03-13,450.80,293.02,3.61,False
2022-03-14,375.60,244.14,3.00,False
2022-03-15,380.20,247.13,3.04,False
2022-03-16,543.20,353.08,4.35,False
2022-03-17,678.60,441.09,5.43,False
2022-03-18,449.20,291.98,3.59,False
2022-03-19,582.10,378.37,4.66,False
2022-03-20,717.30,466.25,5.74,False
2022-03-21,728.70,473.65,5.83,False
2022-03-22,754.60,490.49,6.04,False
2022-03-23,631.90,410.74,5.05,False
2022-03-24,588.00,382.20,4.70,False
2022-03-25,623.00,404.95,4.98,False
2022-03-26,562.70,365.75,4.50,False
2022-03-27,684.30,444.80,5.47,False
2022-03-28,689.40,448.11,5.51,False
2022-03-29,737.80,479.57,5.90,False
2022-03-30,571.70,371.61,4.57,False
2022-03-31,593.70,385.90,4.75,False
2022-04-01,623.80,405.47,4.99,False
2022-04-02,740.10,481.06,5.92,False
2022-04-03,704.60,457.99,5.64,False
2022-04-04,707.10,459.62,5.66,False
2022-04-05,696.20,452.53,5.57,False
2022-04-06,642.60,417.69,5.14,False
2022-04-07,568.60,369.59,4.55,False
2022-04-08,645.30,419.44,5.16,False
2022-04-09,415.30,269.94,3.32,False
2022-04-10,460.20,299.13,3.68,False
2022-04-11,423.40,275.21,3.39,False
2022-04-12,488.30,317.39,3.91,False
2022-04-13,477.70,310.50,3.82,False
2022-04-14,608.90,395.79,4.87,False
2022-04-15,612.30,398.00,4.90,False
2022-04-16,706.20,459.03,5.65,False
2022-04-17,527.40,342.81,4.22,False
2022-04-18,635.90,413.33,5.09,False
2022-04-19,662.50,430.62,5.30,False
2022-04-20,661.90,430.24,5.29,False
2022-04-21,583.80,379.47,4.67,False
2022-04-22,591.30,384.35,4.73,False
2022-04-23,640.60,416.39,5.12,False
2022-04-24,642.90,417.88,5.14,False
2022-04-25,729.00,473.85,5.83,False
2022-04-26,679.00,441.35,5.43,False
2022-04-27,694.80,451.62,5.56,False
2022-04-28,684.70,445.06,5.48,False
2022-04-29,658.30,427.89,5.27,False
2022-04-30,707.10,459.62,5.66,False
2022-05-01,646.20,420.03,5.17,False
2022-05-02,535.40,348.01,4.28,False
2022-05-03,384.50,249.93,3.08,False
2022-05-04,543.50,353.27,4.35,False
2022-05-05,468.10,304.26,3.75,False
2022-05-06,414.60,269.49,3.32,False
2022-05-07,463.40,,,True
2022-05-08,512.20,,,True
2022-05-09,561.00,,,True
2022-05-10,609.80,396.37,4.88,False
2022-05-11,614.30,399.30,4.91,False
2022-05-12,390.80,254.02,3.13,False
2022-05-13,512.70,333.25,4.10,False
2022-05-14,652.20,423.93,5.22,False
2022-05-15,547.60,355.94,4.38,False
2022-05-16,440.30,286.19,3.52,False
2022-05-17,228.90,148.78,1.83,False
2022-05-18,655.70,426.20,5.25,False
2022-05-19,699.40,454.61,5.59,False
2022-05-20,613.40,398.71,4.91,False
2022-05-21,680.70,442.45,5.45,False
2022-05-22,671.30,436.35,5.37,False
2022-05-23,583.20,379.08,4.67,False
2022-05-24,567.00,368.55,4.54,False
2022-05-25,672.70,437.25,5.38,False
2022-05-26,675.00,438.75,5.40,False
2022-05-27,573.10,372.51,4.58,False
2022-05-28,527.50,342.88,4.22,False
2022-05-29,634.10,412.17,5.07,False
2022-05-30,617.30,401.25,4.94,False
2022-05-31,614.60,399.49,4.92,False
2022-06-01,629.70,409.31,5.04,False
2022-06-02,607.90,395.13,4.86,False
2022-06-03,621.40,403.91,4.97,False
2022-06-04,601.30,390.85,4.81,False
2022-06-05,485.80,315.77,3.89,False
2022-06-06,629.50,409.18,5.04,False
2022-06-07,604.20,392.73,4.83,False
2022-06-08,550.20,357.63,4.40,False
2022-06-09,601.10,390.71,4.81,False
2022-06-10,499.20,324.48,3.99,False
2022-06-11,548.10,356.26,4.38,False
2022-06-12,501.70,326.11,4.01,False
2022-06-13,452.90,294.38,3.62,False
2022-06-14,532.50,346.12,4.26,False
2022-06-15,424.00,275.60,3.39,False
2022-06-16,597.60,388.44,4.78,False
2022-06-17,604.20,392.73,4.83,False
2022-06-18,552.80,359.32,4.42,False
2022-06-19,594.80,386.62,4.76,False
2022-06-20,602.40,391.56,4.82,False
2022-06-21,612.40,398.06,4.90,False
2022-06-22,606.10,393.96,4.85,False
2022-06-23,583.40,379.21,4.67,False
2022-06-24,597.10,388.12,4.78,False
2022-06-25,608.60,395.59,4.87,False
2022-06-26,601.50,390.98,4.81,False
2022-06-27,605.00,393.25,4.84,False
2022-06-28,596.50,387.73,4.77,False
2022-06-29,560.70,364.45,4.49,False
2022-06-30,582.40,378.56,4.66,False
2022-07-01,587.10,381.62,4.70,False
2022-07-02,595.90,387.33,4.77,False
2022-07-03,617.80,401.57,4.94,False
2022-07-04,619.10,402.42,4.95,False
2022-07-05,611.10,397.21,4.89,False
2022-07-06,610.60,396.89,4.88,False
2022-07-07,549.60,357.24,4.40,False
2022-07-08,595.80,387.27,4.77,False
2022-07-09,604.60,392.99,4.84,False
2022-07-10,609.10,395.92,4.87,False
2022-07-11,580.30,377.19,4.64,False
2022-07-12,576.60,374.79,4.61,False
2022-07-13,601.80,391.17,4.81,False
2022-07-14,561.50,364.98,4.49,False
2022-07-15,595.30,386.94,4.76,False
2022-07-16,580.60,377.39,4.64,False
2022-07-17,521.70,339.11,4.17,False
2022-07-18,640.50,416.32,5.12,False
2022-07-19,563.70,366.40,4.51,False
2022-07-20,624.40,405.86,5.00,False
2022-07-21,570.20,370.63,4.56,False
2022-07-22,553.40,359.71,4.43,False
2022-07-23,609.30,396.05,4.87,False
2022-07-24,618.10,401.76,4.95,False
2022-07-25,610.70,396.95,4.89,False
2022-07-26,616.30,400.60,4.93,False
2022-07-27,628.60,408.59,5.03,False
2022-07-28,615.40,400.01,4.92,False
2022-07-29,609.40,396.11,4.88,False
2022-07-30,590.10,383.56,4.72,False
2022-07-31,593.20,385.58,4.75,False
2022-08-01,566.20,368.03,4.53,False
2022-08-02,516.20,335.53,4.13,False
2022-08-03,597.80,388.57,4.78,False
2022-08-04,599.50,389.68,4.80,False
2022-08-05,584.60,379.99,4.68,False
2022-08-06,576.00,374.40,4.61,False
2022-08-07,603.90,392.54,4.83,False
2022-08-08,526.50,342.23,4.21,False
2022-08-09,511.70,332.61,4.09,False
2022-08-10,463.20,301.08,3.71,False
2022-08-11,496.40,322.66,3.97,False
2022-08-12,585.10,380.31,4.68,False
2022-08-13,531.10,345.21,4.25,False
2022-08-14,627.80,408.07,5.02,False
2022-08-15,615.50,400.07,4.92,False
2022-08-16,418.70,272.15,3.35,False
2022-08-17,613.80,398.97,4.91,False
2022-08-18,620.80,403.52,4.97,False
2022-08-19,600.70,390.45,4.81,False
2022-08-20,626.90,407.49,5.01,False
2022-08-21,655.00,425.75,5.24,False
2022-08-22,650.60,422.89,5.21,False
2022-08-23,644.40,418.86,5.16,False
2022-08-24,572.00,371.80,4.58,False
2022-08-25,505.30,328.44,4.04,False
2022-08-26,503.70,327.40,4.03,False
2022-08-27,564.10,366.67,4.51,False
2022-08-28,590.50,383.82,4.72,False
2022-08-29,624.20,405.73,4.99,False
2022-08-30,607.40,394.81,4.86,False
2022-08-31,619.70,402.81,4.96,False
2022-09-01,649.80,422.37,5.20,False
2022-09-02,644.40,418.86,5.16,False
2022-09-03,641.20,416.78,5.13,False
2022-09-04,622.00,404.30,4.98,False
