date_time,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2025-09-15,6.4472,6.1605,7.4305,7.0108,5.7341,0.833,0.1023,0.5753,0.9273,0.8766,49.1771,20.0191,5.099,78.1073,56.4293,8.5474,4.7202,0.0,14.7375,8.9875,16.7,10.2295,7.2727,42.4658,12.3408,3.4185,3.9335,0.447,16.0096,1.4192,28.8561,4.1486,21,33,31.0,46.2496,12.0279,21.5312,61.8438,47.4688,3.0755,1.1646,1.8,5.3,2.6,15.0374,8.9714,6.1,37.7,11.5,11.5833,0,0.8677,3
2025-09-16,6.6998,6.397,7.3327,6.9463,5.9313,0.89,0.0901,0.6571,1.0,0.8977,51.0396,19.3613,6.3836,85.9381,54.7723,9.0314,4.6844,0.0,15.2375,9.725,11.0001,9.0133,0.0,34.2857,10.2262,1.7935,2.2238,0.0,10.3886,0.9715,29.4317,3.8089,21,33,31.0,47.5065,11.8565,21.5625,63.0938,49.3125,3.8741,1.2966,2.3,6.3,3.4,9.8655,7.9524,0.0,30.3,9.5,11.5833,0,0.9137,3
2025-09-17,6.4125,6.1619,7.241,6.8845,5.6602,0.8737,0.0738,0.6765,0.9912,0.8552,47.3736,20.6788,3.1467,81.6393,50.2916,9.3978,4.6025,0.0,15.15,10.1875,12.6263,7.3848,0.8803,32.3529,14.4796,1.9272,1.9045,0.007,9.3176,1.8691,31.1367,3.9931,22,35,33.0,48.4366,11.6299,22.5625,62.875,50.4688,3.2741,1.0588,1.5,5.2,3.3,11.4381,6.6371,0.8,28.8,12.9,11.5833,0,0.8856,3
2025-09-18,6.9094,6.6046,7.4575,7.0858,6.0678,0.9069,0.0743,0.6711,0.9973,0.9217,51.0092,20.3683,6.107,85.112,51.5273,9.6937,4.8336,0.0,15.75,10.6375,9.3062,7.431,0.2681,32.8947,7.8281,1.2655,1.977,0.0011,9.5395,0.5755,30.6929,3.6282,23,34,32.0,49.2002,12.154,23.375,64.375,51.5938,4.6821,0.7746,3.4,5.8,4.7,8.4386,6.5448,0.3,29.0,7.35,11.6667,0,0.9265,0
2025-09-19,6.8831,6.5881,7.6682,7.286,6.088,0.868,0.0862,0.5522,0.9428,0.8955,49.9268,21.2946,4.7832,81.5897,51.907,9.1071,4.8052,0.0,15.0625,10.125,13.1978,8.6235,5.7221,44.7761,10.4537,2.2769,3.5699,0.309,17.5075,1.0178,29.2429,3.8326,22,33,31.0,47.6797,12.187,22.3438,62.6562,50.3125,5.5293,1.2248,4.1,7.4,5.35,12.2121,7.8267,5.4,39.7,9.8,11.6667,0,0.8976,3
2025-09-20,7.2531,6.9378,7.5894,7.2392,6.3858,0.9467,0.0576,0.7538,1.0,0.9473,50.7633,24.4746,3.0151,85.9307,49.7433,9.5503,4.8947,0.0,15.575,10.775,5.3329,5.7591,0.0,24.6154,5.2689,0.5558,1.1281,0.0,4.9231,0.2634,29.35,3.7607,21,34,31.0,48.7779,12.4382,21.4688,63.9375,51.9375,5.0071,0.9045,3.4,6.3,5.05,4.9386,5.1655,0.0,20.0,5.0,11.6667,0,0.9557,0
2025-09-21,6.2276,6.0575,6.567,6.3568,5.5145,0.9336,0.0621,0.7059,1.0,0.9457,46.2573,19.566,3.9187,78.4907,46.2588,9.1141,4.4714,0.0,14.8125,10.1625,6.6352,6.209,0.0,29.4118,5.431,0.7627,1.4882,0.0,7.7059,0.2634,31.0643,3.6229,22,35,32.0,47.7453,11.2631,22.4688,62.0312,50.4062,3.6086,0.8296,2.5,5.2,3.3,6.0879,5.8494,0.0,26.2,4.95,11.6667,0,0.9483,0
2025-09-22,6.2806,6.1058,7.0938,6.8342,5.5331,0.8613,0.1072,0.5714,1.0,0.8838,47.9509,19.4251,4.4814,81.9434,50.368,9.3581,4.647,0.0,15.7,9.9375,13.8704,10.7161,0.0,42.8571,11.6208,2.8556,3.7164,0.0,17.5714,1.2283,31.446,2.7536,24,35,32.0,48.3901,11.6281,24.5,64.25,49.8438,5.0799,1.113,2.4,6.4,5.5,12.8878,10.0627,0.0,41.0,10.5,11.5833,0,0.8854,3
2025-09-23,5.2471,5.1762,7.1078,6.854,4.7986,0.7022,0.0834,0.4182,0.7645,0.7368,39.1184,16.9051,4.0415,63.5273,42.5486,6.2598,4.2199,0.0,12.375,6.6875,29.776,8.3395,23.5529,58.1818,26.3158,9.0487,6.2845,5.1816,33.28,6.4474,26.1871,3.402,20,32,26.0,40.3429,11.0396,20.4062,55.9375,41.7188,3.1554,0.8856,1.0,4.8,3.4,28.0446,8.467,22.0,57.7,24.5,11.5833,0,0.7382,3
2025-09-24,5.5879,5.4753,7.4552,7.1773,5.1008,0.7093,0.0967,0.48,0.9122,0.7096,41.8941,21.7982,2.5702,91.9233,46.4822,6.5454,3.9535,0.0,11.0625,7.6375,29.0695,9.6659,8.776,52.0,29.0379,8.9564,5.858,0.7284,26.416,7.9796,26.1714,2.795,20,30,26.5,41.1391,10.288,20.375,52.6562,44.0938,4.7343,0.8091,3.4,5.8,4.75,27.6714,9.5469,8.3,50.8,27.5,11.6667,0,0.7495,3
