date_time,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2025-09-22,5.2613,5.1592,7.4434,7.1319,4.7958,0.6856,0.1466,0.443,0.9146,0.7054,40.5235,16.6304,7.1111,76.1595,41.4341,6.8734,3.5846,0.0,11.9375,7.3062,31.4429,14.6566,8.5427,55.6962,29.4647,11.4008,9.1202,0.6663,30.1316,7.9098,28.05,1.9317,23,30,29.0,42.1429,9.0424,23.4375,54.8438,43.2656,3.7943,1.1702,1.2,5.1,4.2,29.7314,14.1209,7.8,54.1,27.25,11.6667,0,0.7068,3
2025-09-23,4.4962,4.4616,7.3832,7.0942,4.2006,0.5699,0.1221,0.3333,0.745,0.6108,33.5464,20.1123,1.4668,68.7306,33.173,4.9168,2.9274,0.0,8.375,5.5,43.0076,12.2089,25.4962,66.6667,38.9178,19.1212,10.6367,6.1191,43.4,14.3607,24.9784,1.8861,21,27,25.0,37.1086,7.6549,21.3438,45.9375,38.75,1.2439,0.4734,0.5,2.1,1.3,41.0511,12.1158,24.0,65.1,36.9,11.5833,0,0.609,3
2025-09-24,4.4491,4.4316,7.3332,7.0681,4.1904,0.5712,0.0914,0.3429,0.7032,0.5883,33.6805,16.6066,6.1367,62.4928,36.2312,4.369,2.7027,0.0,7.825,5.1438,42.8758,9.14,29.682,65.7143,41.1735,18.3626,8.1947,8.311,42.7143,16.0577,23.5362,1.93,20,26,24.0,35.6261,7.2873,20.375,44.5625,37.8594,3.9138,0.414,2.5,4.6,4.0,40.8826,9.2037,28.0,65.0,39.0,11.5,0,0.6067,3
2025-09-25,6.6335,6.4373,7.6416,7.366,5.9837,0.8255,0.1062,0.5604,0.9479,0.8644,50.7029,17.722,6.9079,79.3036,54.0731,7.4219,4.4293,0.0,13.6,7.9062,17.4476,10.6243,5.2083,43.956,13.5603,4.0296,4.7415,0.2604,18.4615,1.7494,25.5571,3.1148,19,29,27.0,43.3254,11.494,19.5312,59.0,44.7656,4.1771,0.7642,3.1,5.6,3.9,16.7921,10.494,5.0,43.1,12.9,11.6667,0,0.8681,3
2025-09-26,5.8317,5.7171,7.836,7.5692,5.3832,0.746,0.071,0.5114,0.913,0.7432,37.9003,22.3475,1.7816,73.7358,38.3089,5.9777,3.6591,0.0,10.3,7.0375,25.4003,7.095,8.6957,48.8636,25.6761,6.7596,4.0655,1.1511,23.308,6.3254,24.0563,3.7203,17,28,25.5,39.4571,10.0502,17.375,50.75,42.5938,5.7789,1.2785,3.8,7.4,6.0,24.7077,7.1772,10.6,48.1,24.65,11.8333,0,0.7442,3
2025-09-27,7.7076,7.4704,7.9431,7.6928,6.9014,0.9648,0.0412,0.8065,1.0,0.9688,52.221,25.0006,2.4664,86.5883,53.9315,8.133,4.7708,0.0,14.1125,8.9688,3.5174,4.1244,0.0,19.3548,3.1233,0.3103,0.7138,0.0,3.5613,0.0937,24.6479,3.8134,17,29,26.0,45.0024,12.5518,17.5938,60.2812,47.4219,4.5458,1.3121,2.7,6.4,4.55,3.7697,4.7248,0.0,18.4,3.0,11.8333,0,0.9704,0
2025-09-28,7.889,7.6628,7.9579,7.7298,6.976,0.984,0.0312,0.8596,1.0,0.99,53.7329,24.6183,3.2567,83.5596,57.8577,9.0055,5.0869,0.0,15.2625,9.975,1.5952,3.1197,0.0,14.0351,1.0011,0.1358,0.416,0.0,1.9088,0.01,26.5874,3.815,18,31,28.0,47.2753,13.1755,18.3438,63.1562,49.9375,3.7657,1.2458,2.3,6.2,3.2,1.9112,3.808,0.0,13.6,1.0,11.9167,0,0.9913,0
2025-09-29,7.815,7.6135,7.8828,7.6801,6.8208,0.985,0.0281,0.8723,1.0,0.9899,53.4525,24.112,3.3428,81.9322,57.3127,10.0482,5.2721,0.0,16.6125,11.05,1.4991,2.8078,0.0,12.766,1.0111,0.119,0.3609,0.0,1.7309,0.0101,29.5175,4.0085,21,34,31.0,50.0114,13.3991,21.4062,66.5312,52.625,2.9839,1.1782,1.4,4.8,2.8,1.8371,3.6264,0.0,13.6,1.0,11.9167,0,0.9914,0
2025-09-30,7.3689,7.2127,7.6353,7.4642,6.4721,0.9612,0.0396,0.8254,1.0,0.9585,50.0814,24.3631,1.6967,82.6289,53.076,9.6892,4.8271,0.0,15.3375,10.95,3.8817,3.9647,0.0,17.4603,4.154,0.3376,0.6873,0.0,3.2,0.1662,29.8671,2.9293,23,33,31.0,49.1912,12.1336,23.375,63.3438,52.375,4.0853,0.4472,3.4,4.9,4.1,4.2035,4.81,0.0,18.4,4.0,11.9167,0,0.9651,0
2025-10-01,7.1677,7.0323,7.7078,7.5483,6.3396,0.9206,0.0597,0.7714,1.0,0.9212,50.2024,21.346,4.8453,83.6078,53.4865,9.1117,4.6864,0.0,15.0,9.975,7.9442,5.9684,0.0,22.8571,7.8788,1.0403,1.2923,0.0,5.6914,0.6945,28.951,2.7967,23,32,30.0,47.7474,11.7799,23.4062,62.5,49.9375,5.321,1.1144,3.8,7.0,5.4,8.393,6.8424,0.0,24.9,8.2,11.9167,0,0.9299,0
