date_time,pv_energy,income_value,full_power_hours,filled,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2022-02-04,442.3,287.49,3.03,False,5.5098,5.7048,7.6649,8.2322,5.0336,0.6946,0.1878,0.2875,0.9867,0.6992,56.6231,30.957,9.0654,161.1247,52.3395,5.8648,4.346,0.0,13.3,4.9875,30.5369,18.7786,1.3301,71.25,30.0781,14.5827,13.8534,0.0173,57.7125,10.7837,25.3129,2.9138,19.0,29.0,26.0,39.3684,11.304,19.4375,58.25,37.4688,1.9014,1.0246,0.7,3.8,1.5,36.5014,20.5297,1.3,81.0,40.6,12.25,2.0,0.7188,3.0
2022-02-05,445.69,,,True,4.5548,4.7335,7.6157,8.1491,4.2005,0.5832,0.2896,0.0608,0.9967,0.6445,86.4806,62.9909,6.5291,221.6022,73.3649,4.7146,3.9182,0.0,11.9625,4.5062,41.6771,28.9592,0.3297,93.9248,35.5495,27.4097,28.9047,0.001,88.2893,17.6884,24.8699,1.62,20.0,27.0,26.0,36.5689,10.0845,20.3438,54.9062,36.2656,1.0521,0.4675,0.3,1.9,1.1,45.9322,29.5133,0.3,94.0,48.4,12.1667,1.0,0.5981,2.0
2022-02-06,449.09,,,True,3.8015,3.9592,7.6787,8.2248,3.6255,0.5367,0.2947,0.1472,1.4118,0.42,34.2156,18.7846,6.9604,71.769,30.8794,3.1031,2.6083,0.0,7.475,3.4125,47.1947,27.5548,0.0,85.2814,58.002,30.783,24.57,0.0,74.9243,34.2212,22.1655,2.0413,19.0,25.0,23.0,31.997,7.564,19.3438,43.6875,33.5312,2.289,0.713,1.5,3.7,2.1,50.6579,25.9781,4.4,87.9,59.0,12.0833,0.0,0.4951,2.0
2022-02-07,452.48,,,True,4.8929,5.0382,7.6582,8.1803,4.5796,0.5996,0.1966,0.2664,1.0,0.6014,56.665,35.0355,11.9621,175.5063,46.4986,4.2181,3.3927,0.0,10.5625,4.0,40.043,19.6556,0.0,73.3624,39.8582,21.6311,17.4385,0.0,57.7125,18.4014,22.3472,1.4108,20.0,24.0,23.0,35.0892,9.1043,20.375,51.4062,35.0,1.8722,0.4189,1.3,2.8,1.8,44.4049,20.9787,7.4,80.3,45.0,12.0,2.0,0.6389,3.0
2022-02-08,455.88,,,True,3.8957,4.0067,7.6316,8.1252,3.6672,0.5236,0.251,0.1164,0.936,0.5741,56.2313,38.6333,9.08,199.4783,48.4339,3.2763,3.3267,0.0,10.35,1.7625,47.6388,25.1047,6.4008,88.3592,42.5944,30.6256,24.7668,0.4225,78.3746,20.7829,22.6014,1.5435,19.0,25.0,23.0,32.8175,8.7359,19.4688,50.875,29.4062,1.4399,0.3365,0.3,1.7,1.6,51.9049,24.4309,6.6,88.7,55.6,11.9167,2.0,0.5105,2.0
2022-02-09,459.27,,,True,6.2276,6.4508,7.6712,8.1537,5.6847,0.7363,0.208,0.2127,1.0,0.7887,58.9855,27.2001,12.1465,109.2191,57.0804,5.9957,4.3693,0.0,12.9625,6.125,26.3713,20.8033,0.0,78.7313,21.1259,12.716,17.8751,0.0,64.166,4.978,23.1667,2.3265,19.0,26.0,24.0,39.3843,11.8224,19.5,57.4062,40.3125,1.5174,0.4634,0.8,2.1,1.45,30.3486,23.6997,0.0,81.5,22.85,12.0,0.0,0.8118,3.0
2022-02-10,462.67,,,True,4.0776,4.1769,7.7339,8.2156,3.8646,0.5187,0.2314,0.1018,1.0377,0.5351,44.5187,25.6608,5.864,116.64,44.165,3.2653,2.9052,0.0,8.775,3.3125,48.1744,23.0398,0.0,89.819,46.4865,29.9655,23.6281,0.0,81.376,23.2496,21.8207,1.2892,19.0,24.0,22.0,32.3662,8.2652,19.3438,46.9375,33.2812,4.0193,0.6828,2.6,5.5,4.0,52.76,21.3993,15.2,90.6,51.8,12.0833,0.0,0.5272,2.0
2022-02-11,466.06,,,True,4.1674,4.2502,7.7281,8.1854,3.9293,0.4998,0.164,0.1397,0.8125,0.5172,62.4498,36.9369,9.4624,180.1066,61.7331,3.8281,2.956,0.0,9.0125,3.6875,50.0177,16.3974,18.75,86.0294,48.2826,29.3913,17.9624,3.8833,75.4478,24.2919,23.0979,1.3754,20.0,25.0,24.0,34.0264,8.156,20.4062,47.5312,34.2188,2.5664,0.5647,1.5,3.4,2.7,53.6559,16.9361,20.0,87.7,51.6,11.9167,4.0,0.5393,2.0
2022-02-12,469.46,,,True,5.9805,6.1743,7.7529,8.1942,5.4598,0.7112,0.2246,0.1475,1.1026,0.7547,70.8168,41.5914,13.2468,182.2289,57.9035,5.9428,4.3774,0.0,12.5875,8.025,28.9803,22.3187,0.0,85.2459,24.5322,14.7937,17.8196,0.0,74.1639,6.4741,24.0414,2.1918,19.0,27.0,25.0,39.5082,11.462,19.4375,56.4688,45.0625,2.0255,0.6279,0.7,2.8,2.2,33.2607,24.6777,0.0,87.0,29.5,12.0833,4.0,0.7714,3.0
2022-02-13,472.85,,,True,4.8643,5.0483,7.7216,8.1412,4.5465,0.6452,0.3028,0.0925,1.4444,0.687,53.5262,26.9488,7.0383,99.0009,51.0376,4.2205,3.5302,0.0,11.025,4.4312,36.3989,28.627,0.0,90.7489,31.3015,22.2415,23.8302,0.0,83.7612,9.9383,22.3699,1.9582,19.0,25.0,23.0,34.8639,9.7429,19.375,52.5625,36.0781,2.2055,0.2781,1.5,2.6,2.2,39.3986,28.5778,0.0,92.3,31.75,12.1667,3.0,0.63,1.0
2022-02-14,476.24,,,True,4.9192,5.0344,7.7168,8.1078,4.4992,0.6187,0.2963,0.0673,1.4211,0.6627,61.9167,38.4035,4.2391,159.5568,58.9265,5.0323,4.4339,0.0,12.7625,3.9875,38.86,28.2622,0.0,93.2668,33.7302,23.9159,27.3779,0.0,87.2978,13.0567,24.6276,2.345,19.0,28.0,25.0,37.3496,11.3766,19.5625,56.9062,34.9688,2.2103,0.4091,1.3,3.0,2.2,43.0579,26.5677,0.0,93.7,39.8,12.0833,3.0,0.6375,1.0
2022-02-15,479.64,,,True,5.2733,5.4173,7.6261,7.9822,4.8361,0.679,0.2151,0.2225,1.0,0.6667,69.0282,40.5809,16.5328,175.6009,60.1354,5.3901,4.3012,0.0,13.1875,4.9,32.1018,21.5109,0.0,77.7487,33.3333,16.0054,15.8592,0.0,60.7995,11.8806,24.5448,2.8795,20.0,28.0,26.0,38.1828,11.1568,20.5625,57.9688,37.25,0.6662,0.2812,0.0,1.1,0.7,35.1897,22.6274,0.0,78.2,36.8,12.0833,3.0,0.6915,3.0
2022-02-16,483.03,,,True,4.5562,4.7128,7.6334,7.9682,4.2352,0.6303,0.3095,0.0559,1.0,0.7052,79.612,46.0662,12.1056,216.9677,71.5222,4.5799,3.5587,0.0,10.925,4.1,36.9686,30.9528,0.0,94.4056,29.4788,24.0027,27.6721,0.0,89.1189,9.6328,24.1678,1.95,20.0,26.0,25.0,36.1158,9.3727,20.4375,52.3125,35.25,1.2909,0.5512,0.7,2.7,1.0,39.3126,31.1637,0.0,94.4,33.0,11.9167,2.0,0.5969,2.0
2022-02-17,486.43,,,True,4.8262,4.9244,7.6279,7.9412,4.4224,0.5366,0.3042,0.0636,1.0,0.5228,78.4566,55.7347,4.0452,200.238,76.5801,4.6177,4.4014,0.0,12.5875,3.9875,46.3436,30.4211,0.0,93.6407,47.7193,31.4758,29.392,0.0,87.835,23.4337,22.951,2.496,18.0,26.0,23.0,35.6071,12.0988,18.4062,56.4688,34.9688,1.3874,0.3704,0.7,2.2,1.3,48.0301,30.6498,0.0,93.8,48.8,11.9167,13.0,0.6327,2.0
2022-02-18,489.82,,,True,5.3733,5.4887,7.7393,8.0592,4.9789,0.6829,0.1553,0.3696,0.9941,0.6683,72.2528,47.3548,6.9718,205.7589,55.4177,5.0931,3.7275,0.0,12.55,5.4188,31.7081,15.5287,0.5917,63.039,33.1652,13.65,9.9654,0.0041,40.9123,12.4689,23.5,1.8359,20.0,26.0,24.0,37.4928,9.6822,20.4688,56.375,38.5469,2.3979,0.6544,1.0,3.4,2.3,35.5611,16.8853,0.7,64.9,38.6,12.0,1.0,0.6943,3.0
2022-02-19,493.22,,,True,1.9095,1.9423,7.6768,7.974,1.8774,0.2691,0.1429,0.0885,0.8182,0.2377,39.0709,35.87,4.0527,152.7401,26.4385,0.6547,1.3707,0.0,5.75,0.0,73.0931,14.2873,18.1818,91.1483,76.2295,56.5635,17.8569,10.5091,83.1273,60.069,20.1399,0.6235,19.0,21.0,20.0,25.1473,4.4489,19.3438,39.375,24.375,1.6385,1.0147,0.2,3.4,1.7,75.2517,11.8304,40.0,91.2,78.2,11.9167,0.0,0.2487,2.0
2022-02-20,496.61,,,True,4.5275,4.6142,7.7702,8.0593,4.2742,0.5868,0.1859,0.1393,1.0,0.6073,72.6931,38.3813,19.789,175.8392,61.2933,3.6473,3.1305,0.0,10.3125,3.1312,41.3221,18.5892,0.0,86.0735,39.2662,21.5609,17.0751,0.0,74.0232,16.1008,21.5704,1.6129,18.0,24.0,21.0,33.5268,8.6094,18.5625,50.7812,32.8281,0.957,0.4632,0.0,1.6,1.1,44.3958,18.3877,10.2,86.0,42.0,11.8333,3.0,0.5827,2.0
2022-02-21,500.01,,,True,4.2835,4.3666,7.7536,8.0181,3.9916,0.5527,0.2454,0.0426,0.9836,0.5661,82.5693,57.8728,10.6073,255.5851,66.7003,4.0636,3.6445,0.0,11.9625,3.075,44.7325,24.54,1.6444,95.7427,43.3898,27.1599,25.3229,0.0263,91.6257,20.7812,23.5315,1.8301,20.0,26.0,24.0,34.7644,9.6039,20.3438,54.9062,32.6875,2.3538,0.4259,1.5,3.2,2.4,47.172,25.2228,1.6,95.7,48.1,11.9167,3.0,0.5525,2.0
2022-02-22,503.4,327.21,3.45,False,5.5112,5.6294,7.757,8.0002,5.0233,0.6435,0.3109,0.1072,1.0,0.6525,77.5744,49.618,8.857,235.3518,73.1887,5.7402,4.4785,0.0,13.6,5.775,35.6499,31.0868,0.0,89.2754,34.7503,23.068,25.6567,0.0,80.2586,12.1939,24.2929,2.3945,19.0,27.0,24.0,39.0549,11.6078,19.6562,59.0,39.4375,2.1086,0.3649,1.3,2.8,2.1,37.0407,32.082,0.0,89.9,35.95,11.6667,9.0,0.7105,1.0
2022-02-23,733.7,476.9,5.03,False,6.1057,6.2248,7.8216,8.0549,5.5344,0.7301,0.2201,0.2615,1.0,0.7544,74.0863,46.8509,12.6874,209.5072,61.7224,6.6744,4.3921,0.0,14.0125,7.3625,26.9917,22.0139,0.0,73.8462,24.5614,13.0165,16.1511,0.0,55.6062,6.8132,25.669,2.4918,20.0,28.0,26.0,41.4597,11.348,20.4375,60.0312,43.4062,2.2379,0.5068,1.4,3.2,2.1,30.0179,23.6856,0.0,75.3,27.8,12.0833,6.0,0.7806,3.0
2022-02-24,440.7,286.45,3.02,False,4.7982,4.9343,7.8134,8.0229,4.4591,0.6802,0.2938,0.0635,1.0,0.7627,87.3365,46.5408,8.733,241.503,78.7621,4.9589,3.4298,0.0,10.85,5.3313,31.9802,29.3768,0.0,93.6455,23.7311,19.0099,26.2151,0.0,88.0268,5.9782,24.6597,2.3089,19.0,27.0,25.0,37.1552,8.9731,19.375,52.125,38.3281,0.9965,0.512,0.0,1.7,1.2,33.0444,29.1574,0.0,94.0,25.3,12.0,7.0,0.6141,1.0
2022-02-25,753.7,489.9,5.16,False,6.9967,7.1494,7.8817,8.0758,6.27,0.8841,0.1521,0.4355,1.0,0.9691,83.7355,37.5312,23.3705,200.8999,76.6236,7.9096,4.5776,0.0,14.775,9.0375,11.5883,15.2064,0.0,56.4516,3.0905,3.9664,7.3467,0.0,37.7097,0.097,26.4897,2.9583,19.0,29.0,28.0,44.5845,11.8011,19.375,61.9375,47.5938,2.8262,0.9969,1.1,4.2,3.1,12.9303,17.0,0.0,66.8,3.1,12.0833,8.0,0.8877,1.0
2022-02-26,863.6,561.34,5.92,False,7.016,7.1865,7.8792,8.0568,6.3117,0.9274,0.1422,0.3761,1.2778,1.0,78.9554,34.0254,21.2779,176.6152,76.243,7.7599,4.3025,0.0,14.35,8.4188,7.9083,13.3774,0.0,62.3888,0.0,2.3908,5.9681,0.0,38.9306,0.0,26.2329,2.3926,20.0,29.0,27.0,44.2534,11.0411,20.375,60.875,46.0469,3.5829,0.7085,2.0,4.9,3.5,8.3623,13.2211,0.0,62.4,1.4,12.1667,6.0,0.8904,3.0
2022-02-27,870.4,565.76,5.96,False,7.2663,7.3942,8.0314,8.1933,6.4723,0.9016,0.1663,0.4326,1.4118,0.988,71.6701,32.4643,19.5402,162.1444,71.11,8.3072,4.7399,0.0,14.975,9.2625,10.4494,15.7641,0.0,56.7416,1.1982,3.7432,7.9004,0.0,34.9528,0.0144,26.8138,2.7105,19.0,29.0,28.0,45.6058,12.1582,19.5,62.4375,48.1562,2.9945,0.5103,2.1,4.0,2.9,11.6372,16.5086,0.0,61.6,3.7,12.0833,9.0,0.9047,0.0
2022-02-28,783.0,508.95,5.36,False,6.896,7.0187,7.9808,8.1202,6.195,0.8863,0.1682,0.4737,1.2941,0.9738,83.0916,31.4787,23.5003,168.6137,78.1721,7.8503,4.3154,0.0,14.325,8.35,11.9382,16.0819,0.0,52.6316,2.623,4.1047,7.3451,0.0,31.8421,0.0926,26.6621,2.5447,20.0,29.0,27.0,44.4966,11.0427,20.5,60.8125,45.875,2.7938,0.5226,2.1,3.9,2.6,13.069,16.3487,0.0,60.5,5.9,12.0833,16.0,0.8641,1.0
