air_temp,dhi,dni,ghi,gti,wind_speed_10m,period_end,period
20,0,0,0,0,2.8,2023-06-01T00:15:00+00:00,PT15M
20,0,0,0,0,2.8,2023-06-01T00:30:00+00:00,PT15M
20,0,0,0,0,2.8,2023-06-01T00:45:00+00:00,PT15M
20,0,0,0,0,2.7,2023-06-01T01:00:00+00:00,PT15M
19,0,0,0,0,2.7,2023-06-01T01:15:00+00:00,PT15M
19,0,0,0,0,2.6,2023-06-01T01:30:00+00:00,PT15M
19,0,0,0,0,2.6,2023-06-01T01:45:00+00:00,PT15M
19,0,0,0,0,2.5,2023-06-01T02:00:00+00:00,PT15M
19,0,0,0,0,2.5,2023-06-01T02:15:00+00:00,PT15M
19,0,0,0,0,2.4,2023-06-01T02:30:00+00:00,PT15M
18,0,0,0,0,2.4,2023-06-01T02:45:00+00:00,PT15M
18,0,0,0,0,2.4,2023-06-01T03:00:00+00:00,PT15M
18,0,0,0,0,2.3,2023-06-01T03:15:00+00:00,PT15M
18,0,0,0,0,2.2,2023-06-01T03:30:00+00:00,PT15M
18,0,0,0,0,2,2023-06-01T03:45:00+00:00,PT15M
18,0,0,0,0,1.9,2023-06-01T04:00:00+00:00,PT15M
18,0,0,0,0,1.8,2023-06-01T04:15:00+00:00,PT15M
17,0,0,0,0,1.7,2023-06-01T04:30:00+00:00,PT15M
17,0,0,0,0,1.6,2023-06-01T04:45:00+00:00,PT15M
17,0,0,0,0,1.5,2023-06-01T05:00:00+00:00,PT15M
17,0,0,0,0,1.5,2023-06-01T05:15:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T05:30:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T05:45:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T06:00:00+00:00,PT15M
17,0,0,0,0,1.3,2023-06-01T06:15:00+00:00,PT15M
17,0,0,0,0,1.3,2023-06-01T06:30:00+00:00,PT15M
17,0,0,0,0,1.3,2023-06-01T06:45:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T07:00:00+00:00,PT15M
16,0,0,0,0,1.4,2023-06-01T07:15:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T07:30:00+00:00,PT15M
17,0,0,0,0,1.3,2023-06-01T07:45:00+00:00,PT15M
17,0,0,0,0,1.3,2023-06-01T08:00:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T08:15:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T08:30:00+00:00,PT15M
16,0,0,0,0,1.4,2023-06-01T08:45:00+00:00,PT15M
16,0,0,0,0,1.5,2023-06-01T09:00:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T09:15:00+00:00,PT15M
17,0,0,0,0,1.4,2023-06-01T09:30:00+00:00,PT15M
17,4,0,4,4,1.3,2023-06-01T09:45:00+00:00,PT15M
17,27,24,29,32,1.2,2023-06-01T10:00:00+00:00,PT15M
18,35,336,76,122,1.2,2023-06-01T10:15:00+00:00,PT15M
18,46,448,125,186,1.2,2023-06-01T10:30:00+00:00,PT15M
18,54,535,178,251,1.2,2023-06-01T10:45:00+00:00,PT15M
19,60,602,232,315,1.3,2023-06-01T11:00:00+00:00,PT15M
19,65,655,286,377,1.3,2023-06-01T11:15:00+00:00,PT15M
20,69,699,339,437,1.4,2023-06-01T11:30:00+00:00,PT15M
20,72,738,392,496,1.5,2023-06-01T11:45:00+00:00,PT15M
21,72,773,443,552,1.7,2023-06-01T12:00:00+00:00,PT15M
21,72,803,492,606,1.7,2023-06-01T12:15:00+00:00,PT15M
21,72,828,538,656,1.8,2023-06-01T12:30:00+00:00,PT15M
22,72,848,580,703,1.8,2023-06-01T12:45:00+00:00,PT15M
22,74,860,620,745,1.9,2023-06-01T13:00:00+00:00,PT15M
22,86,845,649,774,1.9,2023-06-01T13:15:00+00:00,PT15M
23,119,783,662,782,1.8,2023-06-01T13:30:00+00:00,PT15M
23,216,573,627,721,1.8,2023-06-01T13:45:00+00:00,PT15M
24,286,423,599,672,1.7,2023-06-01T14:00:00+00:00,PT15M
24,331,333,582,640,1.7,2023-06-01T14:15:00+00:00,PT15M
24,352,291,576,625,1.8,2023-06-01T14:30:00+00:00,PT15M
25,388,213,555,591,1.8,2023-06-01T14:45:00+00:00,PT15M
25,368,280,587,636,1.9,2023-06-01T15:00:00+00:00,PT15M
25,389,227,568,607,2,2023-06-01T15:15:00+00:00,PT15M
25,415,150,533,556,2.1,2023-06-01T15:30:00+00:00,PT15M
25,395,201,552,586,2.2,2023-06-01T15:45:00+00:00,PT15M
25,413,136,519,540,2.3,2023-06-01T16:00:00+00:00,PT15M
26,386,193,533,565,2.3,2023-06-01T16:15:00+00:00,PT15M
26,288,430,608,682,2.3,2023-06-01T16:30:00+00:00,PT15M
26,224,565,633,727,2.4,2023-06-01T16:45:00+00:00,PT15M
26,217,560,610,703,2.4,2023-06-01T17:00:00+00:00,PT15M
26,262,415,542,612,2.4,2023-06-01T17:15:00+00:00,PT15M
26,263,373,503,566,2.4,2023-06-01T17:30:00+00:00,PT15M
26,294,221,429,465,2.4,2023-06-01T17:45:00+00:00,PT15M
26,245,321,427,479,2.4,2023-06-01T18:00:00+00:00,PT15M
26,152,571,456,545,2.5,2023-06-01T18:15:00+00:00,PT15M
26,169,441,388,456,2.5,2023-06-01T18:30:00+00:00,PT15M
26,236,35,252,255,2.6,2023-06-01T18:45:00+00:00,PT15M
26,212,46,230,235,2.6,2023-06-01T19:00:00+00:00,PT15M
26,177,90,208,221,2.7,2023-06-01T19:15:00+00:00,PT15M
25,130,3,131,129,2.7,2023-06-01T19:30:00+00:00,PT15M
25,83,0,83,81,2.7,2023-06-01T19:45:00+00:00,PT15M
25,58,0,58,57,2.7,2023-06-01T20:00:00+00:00,PT15M
25,58,0,58,57,2.7,2023-06-01T20:15:00+00:00,PT15M
