air_temp,azimuth,dhi,dni,ghi,gti,zenith,period_end,period
20,75,0,0,0,0,142,2023-06-01T01:00:00Z,PT60M
19,72,0,0,0,0,156,2023-06-01T02:00:00Z,PT60M
19,53,0,0,0,0,169,2023-06-01T03:00:00Z,PT60M
18,-32,0,0,0,0,172,2023-06-01T04:00:00Z,PT60M
17,-69,0,0,0,0,160,2023-06-01T05:00:00Z,PT60M
17,-74,0,0,0,0,146,2023-06-01T06:00:00Z,PT60M
17,-75,0,0,0,0,132,2023-06-01T07:00:00Z,PT60M
17,-73,0,0,0,0,119,2023-06-01T08:00:00Z,PT60M
17,-71,0,0,0,0,105,2023-06-01T09:00:00Z,PT60M
17,-68,8,6,8,9,91,2023-06-01T10:00:00Z,PT60M
18,-63,49,480,153,218,78,2023-06-01T11:00:00Z,PT60M
20,-56,70,716,365,465,66,2023-06-01T12:00:00Z,PT60M
21,-47,72,835,557,677,55,2023-06-01T13:00:00Z,PT60M
23,-33,177,656,634,737,45,2023-06-01T14:00:00Z,PT60M
24,-14,360,279,575,623,39,2023-06-01T15:00:00Z,PT60M
25,8,403,178,543,572,38,2023-06-01T16:00:00Z,PT60M
26,28,279,437,596,669,43,2023-06-01T17:00:00Z,PT60M
26,43,266,332,475,531,51,2023-06-01T18:00:00Z,PT60M
26,54,193,273,332,373,62,2023-06-01T19:00:00Z,PT60M
25,61,112,23,120,122,74,2023-06-01T20:00:00Z,PT60M
24,66,24,5,25,25,87,2023-06-01T21:00:00Z,PT60M
22,70,0,0,0,0,101,2023-06-01T22:00:00Z,PT60M
21,73,0,0,0,0,114,2023-06-01T23:00:00Z,PT60M
21,74,0,0,0,0,128,2023-06-02T00:00:00Z,PT60M
20,75,0,0,0,0,142,2023-06-02T01:00:00Z,PT60M
19,71,0,0,0,0,156,2023-06-02T02:00:00Z,PT60M
18,52,0,0,0,0,169,2023-06-02T03:00:00Z,PT60M
17,-32,0,0,0,0,172,2023-06-02T04:00:00Z,PT60M
16,-69,0,0,0,0,160,2023-06-02T05:00:00Z,PT60M
16,-74,0,0,0,0,146,2023-06-02T06:00:00Z,PT60M
16,-75,0,0,0,0,132,2023-06-02T07:00:00Z,PT60M
15,-73,0,0,0,0,119,2023-06-02T08:00:00Z,PT60M
15,-71,0,0,0,0,105,2023-06-02T09:00:00Z,PT60M
16,-67,5,60,11,18,91,2023-06-02T10:00:00Z,PT60M
18,-63,38,596,164,243,78,2023-06-02T11:00:00Z,PT60M
20,-56,54,798,381,491,66,2023-06-02T12:00:00Z,PT60M
21,-47,63,882,573,700,55,2023-06-02T13:00:00Z,PT60M
23,-33,68,923,717,853,45,2023-06-02T14:00:00Z,PT60M
24,-14,70,942,797,939,39,2023-06-02T15:00:00Z,PT60M
26,7,197,683,731,845,39,2023-06-02T16:00:00Z,PT60M
